ID	DOCULECT	CONCEPT	FORM	TOKENS	COGID	SOURCE	NOTE
160	Gyalsumdo	Above	ɲala	ɲ a + l a		Dhakal2024	[x]
419	Jirel	Above	jine	j i + n e		Dhakal2024	[x]
677	Kagate	Above	t̪ʰola	t̪ʰ o + l a		Dhakal2024	[x]
933	Lowa	Above	t̪ʰøʔ	t̪ʰ ø.ʔ		Dhakal2024	[x]
1183	Nubri	Above	kaŋ	k a.ŋ		Dhakal2024	[x]
1434	Sherpa	Above	jajo	j a + j o		Dhakal2024	[x]
1677	Tsum	Above	jau	j a + !Ø/j u		Dhakal2024	[x]
1939	Yolmo	Above	t̪ʰola	t̪ʰ o + l a		Dhakal2024	[x]
2042	OldTibetan	Above	s.t.e.ŋ	s.t e.ŋ		Sagart2019	
2043	Lhasa	Above	j.ɛ̃.∼.¹³.◦.tɕʰ.ɛ.⁵²	j ɛ̃ ¹³ + tɕʰ ɛ ⁵²		Sagart2019	
2044	Lhasa	Above	kʰ.o.ŋ.¹³.◦.l.a	kʰ o.ŋ ¹³ + l a		Sagart2019	
2045	Batang	Above	j.a.¹³.◦.tɕ.ø.ʔ.⁵³	j a ¹³ + tɕ ø.ʔ ⁵³		Sagart2019	
2046	Xiahe	Above	j.a.n._.tɕh.a.r	j a.n + tɕʰ a.r		Sagart2019	
2047	OldChinese	Above	d.a.ŋ.ʔ.+.s	d a.ŋ ʔ + s		Sagart2019	
198	Gyalsumdo	All	t̪aɡɹaŋ	t̪ a.g/k + ɹ a.ŋ		Dhakal2024	[x]
455	Jirel	All	ŋɡaŋe	ⁿg/g a + ŋ e		Dhakal2024	[x]
713	Kagate	All	t̪ʰamdzer	t̪ʰ a.m + dz e.r		Dhakal2024	[x]
973	Lowa	All	kiɾi	k i + ɾ i		Dhakal2024	[x]
1220	Nubri	All	tɕjapt̪a	tɕj/tɕ a.p + t̪ a		Dhakal2024	[x]
1469	Sherpa	All	jukəj	j u + k əi		Dhakal2024	[x]
1712	Tsum	All	tɕjop	tɕj/tɕ o.p		Dhakal2024	[x]
1976	Yolmo	All	ndzamaɹaŋ	ⁿdz/dz a + m a + ɹ a.ŋ		Dhakal2024	[x]
2048	OldTibetan	All	tʰ.a.m.s.◦.tɕ.a.d	tʰ a.m s + tɕ a.d		Sagart2019	
2049	Xiahe	All	h.a._.n.o	h a + n o		Sagart2019	
2050	Lhasa	All	tsh.a.ŋ.⁵⁵.◦.m.a.⁵⁵	tsʰ a.ŋ ⁵⁵ + m a ⁵⁵		Sagart2019	
2051	Batang	All	j.ø.¹³.◦.tsh.ɛ.ʔ.⁵³	j ø ¹³ + tsʰ ɛ.ʔ ⁵³		Sagart2019	
2052	Lhasa	All	k.a.ŋ.¹³.◦.k.a.⁵⁵	k a.ŋ ¹³ + k a ⁵⁵		Sagart2019	
2053	Alike	All	tsh.a.ŋ._.m.æ	tsʰ a.ŋ + m æ		Sagart2019	
2054	OldChinese	All	b.r.o.m	b.r o.m		Sagart2019	
2055	OldChinese	All	gˤ.r.ə.m	gˤ.r ə.m		Sagart2019	
2056	OldTibetan	All	k.u.n	k u.n		Sagart2019	
110	Gyalsumdo	Ant	tomaɹ	t̪ o + m a.ɹ		Dhakal2024	[x]
371	Jirel	Ant	tʰoŋmatsi	t̪ʰ o.ŋ + m a + ts i		Dhakal2024	[x]
627	Kagate	Ant	tomak	t̪ o + m a.k		Dhakal2024	[x]
884	Lowa	Ant	mbudaɲa	ⁿb/b u + d a + ɲ a		Dhakal2024	[x]
1136	Nubri	Ant	hɹomo	h.ɹ o + m o		Dhakal2024	grog «Ameise»
1387	Sherpa	Ant	tʰəksəŋma	t̪ʰ ə.k + s ə.ŋ + m a		Dhakal2024	grog «Ameise»
1630	Tsum	Ant	tɹomu	t̪.ɹ o + m u		Dhakal2024	grog «Ameise»
1892	Yolmo	Ant	tomaŋ	t̪.!Ø/ɹ o + m a.ŋ		Dhakal2024	grog «Ameise»
2057	Xiahe	Ant	m.b.ə._.tɕ.a.χ._.m.a	m.b ə + tɕ a.χ + m a		Sagart2019	!
2058	Alike	Ant	cç.o.k._.m.æ	cç o.k + m æ		Sagart2019	!
2059	Lhasa	Ant	tʂh.oː.¹³.◦.m.a.⁵⁵	ʈʂʰ oː ¹³ + m a ⁵⁵		Sagart2019	
2060	Batang	Ant	dʑ.a.⁵⁵.◦.dʐ.o.ʔ.⁵³.◦.tʂ.ᴜ.¹³.◦.m.a.⁵³	dʑ a ⁵⁵ + ɖʐ o.ʔ ⁵³ + ʈʂ u ¹³ + m a ⁵³		Sagart2019	
2061	OldChinese	Ant	m.+.qʰ.a.j.ʔ	m + qʰ a.j ʔ		Sagart2019	
2062	OldChinese	Ant	qʰˤ.o.ʔ	qʰˤ o ʔ		Sagart2019	WT grog-ma, etc.
2063	OldTibetan	Ant	g.r.o.g.+.m.a	g r o.g + m a		Sagart2019	not in OT?
145	Gyalsumdo	Bad	majabu	m a + j a + b u		Dhakal2024	[x]
403	Jirel	Bad	meleba	m e + l e + b a		Dhakal2024	[x]
661	Kagate	Bad	majiba	m a + j i + b a		Dhakal2024	[x]
662	Kagate	Bad	marikpa	m a + r i.k + !p/b a		Dhakal2024	[x]
917	Lowa	Bad	a	a		Dhakal2024	[x]
918	Lowa	Bad	ŋempa	ŋ e.m + p a		Dhakal2024	[x]
1168	Nubri	Bad	ɦawɛ	ɦ a + w ɛ		Dhakal2024	[x]
1419	Sherpa	Bad	melokpa	m e + l o.k + p a		Dhakal2024	[x]
1662	Tsum	Bad	nepo	n e + p o		Dhakal2024	[x]
1924	Yolmo	Bad	tsokpa	ts o.k + p a		Dhakal2024	[x]
2064	OldTibetan	Bad	ŋ.a.n	ŋ a.n		Sagart2019	
2065	Lhasa	Bad	ŋ.ɛ̃.∼.¹³.◦.p.o.⁵⁵	ŋ ɛ̃ ¹³ + p o ⁵⁵		Sagart2019	
2066	Lhasa	Bad	t.u.¹³.◦.k.o.⁵⁵	t u ¹³ + k o ⁵⁵		Sagart2019	
2067	Batang	Bad	d.u.⁵⁵.◦.p.ᴜ.⁵³	d u ⁵⁵ + p u ⁵³		Sagart2019	
2068	Batang	Bad	ɕ.ɑ.u.⁵⁵.◦.d.ɛ.ʔ.⁵³	ɕ ɑu ⁵⁵ + d ɛ ʔ ⁵³		Sagart2019	
2069	Xiahe	Bad	a._.χ.a._.m.a	a + χ a + m a		Sagart2019	
2070	Xiahe	Bad	ŋ.a.n	ŋ a.n		Sagart2019	
2071	Alike	Bad	ŋ.a.n._.b.æ	ŋ a.n + b æ		Sagart2019	
2072	OldChinese	Bad	ʔˤ.a.k	ʔˤ a.k		Sagart2019	WT ag-po 'bad'
78	Gyalsumdo	Barley	tsəu	ts əu		Dhakal2024	[x]
339	Jirel	Barley	ndzəu	!ⁿdz/ts əu		Dhakal2024	[x]
597	Kagate	Barley	wa	w a		Dhakal2024	[x]
853	Lowa	Barley	ne	n e		Dhakal2024	[x]
1107	Nubri	Barley	n̪e:	n eː		Dhakal2024	[x]
1357	Sherpa	Barley	dzəu	!dz/ts əu		Dhakal2024	[x]
1601	Tsum	Barley	tsau	ts au		Dhakal2024	[x]
1863	Yolmo	Barley	dzəu	!dz/ts əu		Dhakal2024	[x]
2073	Lhasa	Barley	s.oː.⁵⁵	s oː ⁵⁵		Sagart2019	
2074	Lhasa	Barley	s.o.⁵⁵.◦.w.a.⁵⁵	s o ⁵⁵ + w a ⁵⁵		Sagart2019	
2075	Batang	Barley	sh.ɑ.⁵⁵	sʰ ɑ ⁵⁵		Sagart2019	
2076	OldTibetan	Barley	n.a.s	n a.s		Sagart2019	
14	Gyalsumdo	Belly	toba	t̪ o + b a		Dhakal2024	[x]
279	Jirel	Belly	suba	s u + b a		Dhakal2024	[x]
539	Kagate	Belly	topa	t̪ o + p a		Dhakal2024	[x]
791	Lowa	Belly	pʰowa	pʰ o + w a		Dhakal2024	[x]
1049	Nubri	Belly	topa	t̪ o + p a		Dhakal2024	[x]
1297	Sherpa	Belly	tʰopa	t̪ʰ o + p a		Dhakal2024	[x]
1542	Tsum	Belly	pʰowa	pʰ o + w a		Dhakal2024	[x]
1804	Yolmo	Belly	pʰo	pʰ o		Dhakal2024	[x]
2077	OldTibetan	Belly	pʰ.o.b.a	pʰ o + b a		Sagart2019	
2078	Alike	Belly	h.o	h o		Sagart2019	
2079	Lhasa	Belly	tʂh.o.¹³.◦.k.o.⁵²	ʈʂʰ o ¹³ + k o ⁵²		Sagart2019	
2080	Batang	Belly	tʂ.ᴜ.¹³.◦.p.a.⁵³	ʈʂ u ¹³ + p a ⁵³		Sagart2019	
2081	Xiahe	Belly	h.o	h o		Sagart2019	
2082	OldChinese	Belly	p.u.k	p u.k		Sagart2019	
156	Gyalsumdo	Big	tɕʰjumbu	tɕʰj/tɕʰ u + ⁿb/b u		Dhakal2024	tɕʰe «big»
415	Jirel	Big	ndzod̪a	ⁿdz/dz o + d̪ a		Dhakal2024	tɕʰe «big»
673	Kagate	Big	tɕʰjombo	tɕʰj/tɕʰ o + ⁿb/b o		Dhakal2024	tɕʰe «big»
929	Lowa	Big	tsʰe	tsʰ e		Dhakal2024	tɕʰe «big»
1179	Nubri	Big	tɕjɔ̃mpu	tɕʰj/tɕʰ !ɔ̃/ɔ + ⁿp/p u		Dhakal2024	tɕʰe «big»
1430	Sherpa	Big	tɕʰend̪i	tɕʰ e + ⁿd̪/d̪ i		Dhakal2024	tɕʰe «big»
1673	Tsum	Big	tɕʰemo	tɕʰ e + m o		Dhakal2024	tɕʰe «big»
1935	Yolmo	Big	tɕʰjimbu	tɕʰj/tɕʰ i + ⁿb/b u		Dhakal2024	tɕʰe «big»
2083	OldTibetan	Big	tɕʰ.e	tɕʰ e		Sagart2019	
2084	Lhasa	Big	tɕʰ.ẽ.∼.⁵⁵.◦.p.o.⁵⁵	tɕʰ ẽ ⁵⁵ + p o ⁵⁵		Sagart2019	
2085	Batang	Big	tɕʰ.ɪ.⁵³	tɕʰ ɪ ⁵³		Sagart2019	
2086	Batang	Big	tɕʰ.ɑ.u.¹³	tɕʰ ɑu ¹³		Sagart2019	
2087	Xiahe	Big	tɕh.e._.w.o	tɕʰ e + w o		Sagart2019	
2088	Alike	Big	tɕh.e	tɕʰ e		Sagart2019	
2089	OldChinese	Big	lˤ.a.t.+.s	lˤ a.t + s		Sagart2019	
163	Gyalsumdo	Black	nakpu	n a.k + p u		Dhakal2024	nag «black»
422	Jirel	Black	naɡpo	n a.g/k + p o		Dhakal2024	nag «black»
680	Kagate	Black	nakpu	n a.k + p u		Dhakal2024	nag «black»
936	Lowa	Black	naɡpo	n a.g/k + p o		Dhakal2024	nag «black»
1186	Nubri	Black	n̪akpo	!n̪/n a.k + p o		Dhakal2024	nag «black»
1437	Sherpa	Black	nakpu	n a.k + p u		Dhakal2024	nag «black»
1680	Tsum	Black	nakpo	n a.k + p o		Dhakal2024	nag «black»
1942	Yolmo	Black	n̪akpu	!n̪/n a.k + p u		Dhakal2024	nag «black»
2097	OldTibetan	Black	n.a.g.◦	n a.g		Sagart2019	
2098	Lhasa	Black	n.a.¹³.◦.k.o.⁵⁵	n a ¹³ + k o ⁵⁵		Sagart2019	
2099	Batang	Black	n.ɑ.¹³.◦.n.ɑ.ʔ.⁵³	n ɑ ¹³ + n ɑ.ʔ ⁵³		Sagart2019	
2100	Xiahe	Black	n.a.χ._.k.w.o	n a.χ + k.w o		Sagart2019	
2101	Alike	Black	n.o.k._.k.o	n o.k + k o		Sagart2019	
2102	OldChinese	Black	ts.r.ə	ts.r ə		Sagart2019	!remove!
2103	OldChinese	Black	m̥ˤ.ə.k	m̥ˤ ə.k		Sagart2019	
26	Gyalsumdo	Blood	tʰak	t̪ʰ a.k		Dhakal2024	[x]
289	Jirel	Blood	tʰak	t̪ʰ a.k		Dhakal2024	[x]
549	Kagate	Blood	tʰa	t̪ʰ a		Dhakal2024	[x]
802	Lowa	Blood	tʰak	t̪ʰ a.k		Dhakal2024	[x]
1059	Nubri	Blood	tʰa	t̪ʰ a		Dhakal2024	[x]
1307	Sherpa	Blood	tʰak	t̪ʰ a.k		Dhakal2024	[x]
1552	Tsum	Blood	tʰɹaʔ	t̪ʰ.ɹ a.ʔ		Dhakal2024	[x]
1814	Yolmo	Blood	tʰa	t̪ʰ a		Dhakal2024	[x]
2104	OldTibetan	Blood	kʰ.r.a.g	kʰ.r a.g		Sagart2019	
2105	Lhasa	Blood	tʂh.a.⁵²	ʈʂʰ a ⁵²		Sagart2019	
2106	Batang	Blood	tʂh.ɑ.ʔ.⁵³	ʈʂʰ ɑ.ʔ ⁵³		Sagart2019	
2107	Xiahe	Blood	tɕh.a.χ	tɕʰ a.χ		Sagart2019	
2108	Alike	Blood	cçh.a.k	cçʰ a.k		Sagart2019	!
2109	OldChinese	Blood	m̥ˤ.i.k	m̥ˤ i.k		Sagart2019	
24	Gyalsumdo	Bone	ɹoɡo	ɹ o + g o		Dhakal2024	[x]
287	Jirel	Bone	ɹuba	ɹ u + b a		Dhakal2024	[x]
547	Kagate	Bone	rekok	r e + k o.k		Dhakal2024	[x]
800	Lowa	Bone	ɹuko	ɹ/ɾ u + k o		Dhakal2024	[x]
1057	Nubri	Bone	hɹypa	h.ɹ y + p a		Dhakal2024	[x]
1305	Sherpa	Bone	ɹukjok	ɹ u + k.j o.k		Dhakal2024	[x]
1550	Tsum	Bone	ɹiɡoʔ	ɹ i + g o.ʔ		Dhakal2024	[x]
1812	Yolmo	Bone	ɹeko	ɹ e + k o		Dhakal2024	[x]
2110	OldTibetan	Bone	r.u.s	r u.s		Sagart2019	
2111	Alike	Bone	r.ə._.p.æ	r ə + p æ		Sagart2019	
2112	Lhasa	Bone	r.y.⁵⁵.◦.k.o.⁵²	r y ⁵⁵ + k o ⁵²		Sagart2019	
2113	Batang	Bone	ʐ.ᴜ.¹³.◦.p.a.⁵³	ʐ u ¹³ + p a ⁵³		Sagart2019	
2114	Lhasa	Bone	r.y.¹³.◦.p.ə.⁵⁵	r y ¹³ + p ə ⁵⁵		Sagart2019	
2115	Xiahe	Bone	r.ə._.p.a	r ə + p a		Sagart2019	
2116	OldChinese	Bone	kˤ.u.t	kˤ u.t		Sagart2019	
12	Gyalsumdo	Breast	oma	o + m a		Dhakal2024	[!] variant, can be excluded
13	Gyalsumdo	Breast	ɦoma	ɦ o + m a		Dhakal2024	[x]
