ID	DOCULECT	CONCEPT	FORM	TOKENS	COGID	SOURCE	NOTE
278	Jirel	Breast	n̪uma	n u + m a		Dhakal2024	[i] Exception confirmed via internal comparison.
537	Kagate	Breast	oma	o + m a		Dhakal2024	[x]
538	Kagate	Breast	praŋɡok	p.r a.ŋ + g o.k		Dhakal2024	[x]
790	Lowa	Breast	oma	o + m a		Dhakal2024	[x]
1048	Nubri	Breast	tɕju	tɕ.j u		Dhakal2024	[x]
1296	Sherpa	Breast	oma	o + m a		Dhakal2024	[x]
1541	Tsum	Breast	paʔ	p a.ʔ		Dhakal2024	[x]
1802	Yolmo	Breast	praŋɡo	p.r a.ŋ + g o		Dhakal2024	[x]
1803	Yolmo	Breast	woma	w o + m a		Dhakal2024	[x]
2117	OldTibetan	Breast	n.u.m.a	n u + m a		Sagart2019	
2118	Lhasa	Breast	o.¹³.◦.m.a.⁵⁵	o ¹³ + m a ⁵⁵		Sagart2019	
2119	Batang	Breast	ȵ.ɑ.⁵⁵.◦.ȵ.ɑ.ʔ.⁵³	ȵ ɑ ⁵⁵ + ȵ ɑ.ʔ ⁵³		Sagart2019	
2120	Xiahe	Breast	n.ə._.m.a	n ə + m a		Sagart2019	
2121	Alike	Breast	n.ə._.m.æ	n ə + m æ		Sagart2019	
2122	OldChinese	Breast	n.o.ʔ	n o.ʔ		Sagart2019	
55	Gyalsumdo	Cloud	muɡpa	m u.g/k + p a		Dhakal2024	[x]
316	Jirel	Cloud	mukpa	m u.k + p a		Dhakal2024	[x]
575	Kagate	Cloud	mukpa	m u.k + p a		Dhakal2024	[x]
829	Lowa	Cloud	ʂɹiŋpa	ʂ.ɹ/ɾ i.ŋ + p a		Dhakal2024	[x]
1085	Nubri	Cloud	muɡpa	m u.g/k + p a		Dhakal2024	[x]
1335	Sherpa	Cloud	mukpa	m u.k + p a		Dhakal2024	[x]
1579	Tsum	Cloud	mukpaʔ	m u.k + p a.ʔ		Dhakal2024	[x]
1841	Yolmo	Cloud	mukpa	m u.k + p a		Dhakal2024	[x]
2131	OldTibetan	Cloud	s.p.r.i.n	s.p.r i.n		Sagart2019	
2132	Batang	Cloud	tʂ.ĩ.∼.⁵⁵	ʈʂ ĩ ⁵⁵		Sagart2019	
2133	Xiahe	Cloud	ʂ.ə.n	ʂ ə n		Sagart2019	
2134	Lhasa	Cloud	tʂ.ĩ.∼.⁵⁵.◦.p.ə.⁵⁵	ʈʂ ĩ ⁵⁵ + p ə ⁵⁵		Sagart2019	
2135	Alike	Cloud	w.tʂ.ə.n	w.ʈʂ ə.n		Sagart2019	!
2136	OldChinese	Cloud	ɢʷ.ə.n	ɢʷ ə n		Sagart2019	
151	Gyalsumdo	Cold	taŋmu	t̪ a.ŋ + m u		Dhakal2024	[x]
409	Jirel	Cold	tʰəŋɡe	t̪ʰ ə.ŋ + g e		Dhakal2024	[x]
668	Kagate	Cold	taŋmu	t̪ a.ŋ + m u		Dhakal2024	[x]
924	Lowa	Cold	taɡmo	t̪ a.!g/ŋ + m o		Dhakal2024	[x]
1174	Nubri	Cold	taŋmo	t̪ a.ŋ + m o		Dhakal2024	[x]
1425	Sherpa	Cold	tʰeŋa	t̪ʰ e.ŋ + !Ø/ŋ a		Dhakal2024	[x]
1668	Tsum	Cold	ɹaŋd̪a	ɹ a.ŋ + d̪ a		Dhakal2024	[x]
1930	Yolmo	Cold	taŋmu	t̪ a.ŋ + m u		Dhakal2024	[x]
2137	OldTibetan	Cold	g.r.a.ŋ.◦	g.r a.ŋ		Sagart2019	
2138	Xiahe	Cold	tɕ.a.ŋ	tɕ a.ŋ		Sagart2019	
2139	Lhasa	Cold	tʂh.ə.ŋ.¹³.◦.ŋ.u.⁵⁵	ʈʂʰ ə.ŋ ¹³ + ŋ u ⁵⁵		Sagart2019	
2140	Lhasa	Cold	ch.a.⁵⁵.◦.k.o.⁵⁵	ch/ts a ⁵⁵ + k o ⁵⁵		Sagart2019	
2141	Batang	Cold	tʂ.õ.∼.¹³.◦.m.ᴜ.⁵³	ʈʂ õ ¹³ + m u ⁵³		Sagart2019	
2142	Xiahe	Cold	tɕh.a.χ._.k.w.a	tɕʰ a.χ + k.w a		Sagart2019	
2143	Alike	Cold	n.cçh.a.k	n.cçʰ a.k		Sagart2019	!
2144	OldChinese	Cold	tsʰ.e.ŋ.+.s	tsʰ e.ŋ + s		Sagart2019	!remove!
2145	OldChinese	Cold	tsʰˤ.a.ŋ	tsʰˤ a.ŋ		Sagart2019	!remove!
2146	OldChinese	Cold	C/.+.r.a.ŋ	ç/k + r a.ŋ		Sagart2019	WT grang-ba
2147	OldChinese	Cold	C/.ə.+.gˤ.a.n	ç/k ə + gˤ a.n		Sagart2019	!remove!
2148	OldChinese	Cold	rˤ.e.ŋ.ʔ	rˤ e.ŋ ʔ		Sagart2019	!remove!
123	Gyalsumdo	Daughter	pomo	p o + m o		Dhakal2024	[x]
384	Jirel	Daughter	pʰumu	pʰ u + m u		Dhakal2024	[x]
640	Kagate	Daughter	pomo	p o/u + m o		Dhakal2024	[x]
897	Lowa	Daughter	pomo	p o + m o		Dhakal2024	[x]
1149	Nubri	Daughter	poõ	p o/u.Ø/h + Ø/m õ/o		Dhakal2024	[x]
1400	Sherpa	Daughter	pʰumu	pʰ u + m u		Dhakal2024	[x]
1643	Tsum	Daughter	poõ	p o/u + Ø/m õ/o		Dhakal2024	[x]
1905	Yolmo	Daughter	pomo	p o/u + m o		Dhakal2024	[x]
2159	Lhasa	Daughter	ph.o.¹³.◦.m.o.⁵⁵	pʰ o ¹³ + m o ⁵⁵		Sagart2019	
2160	Batang	Daughter	p.ɑ̃.∼.¹³.◦.m.ᴜ.⁵³	p ɑ̃ ¹³ + m u ⁵³		Sagart2019	
2161	Xiahe	Daughter	ɕ.ə._.m.o	ɕ ə + m o		Sagart2019	
2162	Alike	Daughter	ɕ.ə._.m.o	ɕ ə + m o		Sagart2019	
2163	OldChinese	Daughter	n.r.a.ʔ	n.r a ʔ		Sagart2019	also 'female' in general
2164	OldTibetan	Daughter	b.u.+.m.o	b u + m o		Sagart2019	
104	Gyalsumdo	Dog	kjupu	!k/kʰ.j u + p u		Dhakal2024	[x]
105	Gyalsumdo	Dog	ki	!k/kʰ i		Dhakal2024	[x]
366	Jirel	Dog	ki	!k/kʰ i		Dhakal2024	[x]
622	Kagate	Dog	kʰi	kʰ i		Dhakal2024	[x]
879	Lowa	Dog	kʰi	kʰ i		Dhakal2024	[x]
1132	Nubri	Dog	kʰji	!kʰj/kʰ i		Dhakal2024	[x]
1382	Sherpa	Dog	ki	!k/kʰ i		Dhakal2024	[x]
1626	Tsum	Dog	ki	!k/kʰ i		Dhakal2024	[x]
1888	Yolmo	Dog	kʰi	kʰ i		Dhakal2024	[x]
2171	OldTibetan	Dog	kʰʲ.i	kʲʰ i		Sagart2019	
2172	Lhasa	Dog	ch.i.⁵⁵	ch/ts i ⁵⁵		Sagart2019	???
2173	Batang	Dog	tɕʰ.ɪ.⁵³	tɕʰ ɪ ⁵³		Sagart2019	
2174	Xiahe	Dog	tɕh.ə._.ɣ.ə	tɕʰ ə + ɣ ə		Sagart2019	
2175	Alike	Dog	tɕh.ə._.ɣ.ə	tɕʰ ə + ɣ ə		Sagart2019	
2176	OldChinese	Dog	kʷʰˤ.e.n.ʔ	kʷʰˤ e.n ʔ		Sagart2019	Probably kwh!ir?
147	Gyalsumdo	Dry	kəmpu	k ə.m + p u		Dhakal2024	[x]
405	Jirel	Dry	kombo	k o.m + !b/p o		Dhakal2024	[x]
664	Kagate	Dry	kambu	k a.m + b u		Dhakal2024	[x]
920	Lowa	Dry	kampo	k a.m + p o		Dhakal2024	[x]
1170	Nubri	Dry	kombo	k o.m + b o		Dhakal2024	[x]
1421	Sherpa	Dry	kaŋbu	k a.ŋ + b u		Dhakal2024	[x]
1664	Tsum	Dry	kampo	k a.m + p o		Dhakal2024	[x]
1926	Yolmo	Dry	kambu	k a.m + b u		Dhakal2024	[x]
2183	OldTibetan	Dry	s.k.a.m.◦	s.k a.m		Sagart2019	
2184	Lhasa	Dry	k.a.m.⁵⁵.◦.p.o.⁵⁵	k a.m ⁵⁵ + p o ⁵⁵		Sagart2019	
2185	Batang	Dry	k.a.⁵⁵.◦.m.b.ᴜ.⁵³	k a ⁵⁵ + m.b u ⁵³		Sagart2019	!
2186	Xiahe	Dry	h.k.a._.m.b.o	h.k a + m.b o		Sagart2019	!
2187	Alike	Dry	r.k.a.m._.b.o	r.k a.m + b o		Sagart2019	!
2188	OldChinese	Dry	kˤ.a.r	kˤ a.r		Sagart2019	
66	Gyalsumdo	Dust	t̪ʰala	t̪ʰ a + l a		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
328	Jirel	Dust	d̪ulo	!d̪/t̪ʰ !u/a + l !o/a		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
586	Kagate	Dust	t̪ʰaldzuk	t̪ʰ a + l Ø/a + dz u.k		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
842	Lowa	Dust	t̪ʰala	t̪ʰ a + l a		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1096	Nubri	Dust	t̪ʰala	t̪ʰ a + l a		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1346	Sherpa	Dust	t̪ʰald̪uk	t̪ʰ a + l !Ø/a + d̪ u.k		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1590	Tsum	Dust	t̪ʰala	t̪ʰ a + l a		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1852	Yolmo	Dust	t̪ʰalbi	t̪ʰ a + l !Ø/a + b i		Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
2189	OldTibetan	Dust	r.d.u.l	r.d u.l		Sagart2019	
2190	Lhasa	Dust	th.ɛ.⁵⁵.◦.l.a.⁵⁵	tʰ ɛ ⁵⁵ + l a ⁵⁵		Sagart2019	
2191	Batang	Dust	th.e.i.¹³.◦.k.ɑ.⁵⁵	tʰ ei ¹³ + k ɑ ⁵⁵		Sagart2019	
2192	Batang	Dust	th.e.⁵⁵.◦.w.ɑ.⁵⁵	tʰ e ⁵⁵ + w ɑ ⁵⁵		Sagart2019	
2193	Xiahe	Dust	sʰ.a._.d.u	sʰ a + d u		Sagart2019	???
2194	Alike	Dust	th.a.r._.d.u	tʰ a.r + d u		Sagart2019	
2195	OldChinese	Dust	d.r.ə.n	d.r ə.n		Sagart2019	
6	Gyalsumdo	Ear	amtɕo	a.m + tɕ o		Dhakal2024	[x]
7	Gyalsumdo	Ear	amdʑo	a.m + !dʑ/tɕ o		Dhakal2024	[x]
273	Jirel	Ear	n̪amdʑjok	n a.m + dʑj/dʑ o.k		Dhakal2024	[x]
532	Kagate	Ear	namdzjo	n a.m + dzj/dʑ o		Dhakal2024	[x]
785	Lowa	Ear	amtɕjoʔ	a.m + tɕj/tɕ o.ʔ		Dhakal2024	[x]
1043	Nubri	Ear	amtɕjoʔ	a.m + tɕj/tɕ o.ʔ		Dhakal2024	[x]
1291	Sherpa	Ear	namdzjok	n a.m + !dzj/dʑ o.k		Dhakal2024	[x]
1536	Tsum	Ear	amdʑjoʔ	a.m + dʑj/dʑ o.ʔ		Dhakal2024	[x]
1797	Yolmo	Ear	nəmdʑjo	n ə.m + dʑj/dʑ o		Dhakal2024	[x]
2196	OldTibetan	Ear	r.n.a	r.n a		Sagart2019	
2197	Alike	Ear	r.n.æ	r.n æ		Sagart2019	
2198	Lhasa	Ear	a.m.⁵⁵.◦.tɕ.o.⁵²	a.m ⁵⁵ + tɕ o ⁵²		Sagart2019	
2199	Batang	Ear	n.a.⁵⁵.◦.j.o.⁵³	n a ⁵⁵ + j o ⁵³		Sagart2019	
2200	Xiahe	Ear	n.a._.ndʑ.o.χ	n a + ⁿdʑ o./o χ		Sagart2019	!
2201	OldChinese	Ear	C/.+.n.ə.ʔ	ç/k + n ə.ʔ		Sagart2019	
97	Gyalsumdo	Egg	koŋa	k o + ŋ a		Dhakal2024	[x]
357	Jirel	Egg	tsʰemend̪ok	tsʰ e + m e.n + d̪ o.k		Dhakal2024	[x]
358	Jirel	Egg	tsʰeɡoŋa	tsʰ e + g o + ŋ a		Dhakal2024	[x]
615	Kagate	Egg	tɕjamuɡoŋa	tɕj/tɕ a + m u + !g/k o + ŋ a		Dhakal2024	[x]
872	Lowa	Egg	koŋa	k o + ŋ a		Dhakal2024	[x]
1125	Nubri	Egg	koõ	k o + !Ø/ŋ õ/o		Dhakal2024	[x]
1375	Sherpa	Egg	tɕʰeɡoŋa	tɕʰ e + g o + ŋ a		Dhakal2024	[x]
1619	Tsum	Egg	koã	k o + !Ø/ŋ !ã/a		Dhakal2024	[x]
1881	Yolmo	Egg	koŋa	k o + ŋ a		Dhakal2024	[x]
2208	OldTibetan	Egg	s.g.o.ŋ.a	s.g o + ŋ a		Sagart2019	
2209	Alike	Egg	w.ɕ.a.r._.r.g.o.ŋ	w.ɕ a.r + r.g o.ŋ		Sagart2019	!
2210	Lhasa	Egg	k.o.¹³.◦.ŋ.a.⁵⁵	k o ¹³ + ŋ a ⁵⁵		Sagart2019	
2211	Batang	Egg	g.ũ.∼.¹³.◦.ŋ.ɑ.ʔ.⁵³	g ũ ¹³ + ŋ ɑ.ʔ ⁵³		Sagart2019	
2212	Xiahe	Egg	g.o.ŋ._.ŋ.a	g o.ŋ + ŋ a		Sagart2019	
