ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
49	Gyalsumdo	Moon	t̪awa	t̪awa	t̪ a + w a	t̪ a + w a	1327
50	Gyalsumdo	Sky	nam	nam	n a m	n a.m	1392
51	Gyalsumdo	Star	kaɹma	kaɹma	k a ɹ + m a	k a.ɹ + m a	1410
52	Gyalsumdo	Rain	nam	nam	n a m	n a.m	
53	Gyalsumdo	Water	tɕʰu	tɕʰu	tɕʰ u	tɕʰ u	1458
54	Gyalsumdo	River	tsaŋpu	tsaŋpu	ts a ŋ + p u	ts a.ŋ + p u	1368
55	Gyalsumdo	Cloud	muɡpa	muɡpa	m u g/k + p a	m u.g/k + p a	176
56	Gyalsumdo	Lightening	loɡmaɹ	loɡmaɹ	l o g/k + m a ɹ	l o.g/k + m a.ɹ	
57	Gyalsumdo	Rainbow	sa	sa	s a	s a	534
58	Gyalsumdo	Wind	hlawa	hlawa	h l a + w a	h.l a + w a	1486
59	Gyalsumdo	Stone	t̪o	t̪o	t̪ o	t̪ o	1416
60	Gyalsumdo	Path	lam	lam	l a m	l a.m	
61	Gyalsumdo	Sand	pema	pema	p e + m a	p e + m a	1382
62	Gyalsumdo	Fire	me	me	m e	m e	1251
63	Gyalsumdo	Smoke	t̪uba	t̪uba	t̪ u + b a	t̪ u + b a	
64	Gyalsumdo	Ash	kɔkt̪al	kɔkt̪al	k ɔ k + !t̪/t̪ʰ a + l !Ø/a	k ɔ.k + !t̪/t̪ʰ a + l !Ø/a	
65	Gyalsumdo	Mud	sa	sa	s a	s a	534
66	Gyalsumdo	Dust	t̪ʰala	t̪ʰala	t̪ʰ a + l a	t̪ʰ a + l a	1237
67	Gyalsumdo	Gold	seɹ	seɹ	s e ɹ	s e.ɹ	
68	Gyalsumdo	Tree	t̪oŋbu	t̪oŋbu	t̪ o ŋ + b u	t̪ o.ŋ + b u	1039
69	Gyalsumdo	Leaf	lapt̪i	lapt̪i	l a p + t̪ i	l a.p + t̪ i	430
70	Gyalsumdo	Leaf	loma	loma	l o + m a	l o + m a	1315
71	Gyalsumdo	Root	pat̪a	pat̪a	p a + t̪ a	p a + t̪ a	686
72	Gyalsumdo	Thorn	tsʰeɾma	tsʰeɾma	tsʰ e ɾ + m a	tsʰ e.ɾ + m a	
73	Gyalsumdo	Flower	mend̪o	mend̪o	m e + ⁿd̪/d̪ o	m e + ⁿd̪/d̪ o	1257
74	Gyalsumdo	Fruit	ɕiŋd̪o	ɕiŋd̪o	ɕ i ŋ + d̪ o	ɕ i.ŋ + d̪ o	1263
75	Gyalsumdo	Mango	ãp	ãp	ã p	ã.p	
76	Gyalsumdo	Banana	keɹa	keɹa	k e + ɹ a	k e + ɹ a	
77	Gyalsumdo	Wheat (husked)	to	to	t̪ o	t̪ o	1091
78	Gyalsumdo	Barley	tsəu	tsəu	ts əu	ts əu	1190
79	Gyalsumdo	Rice (husked)	tɛ	tɛ	!t̪/t̪ʰ ɛ	!t̪/t̪ʰ ɛ	
80	Gyalsumdo	Rice (husked)	tʰɛ	tʰɛ	t̪ʰ ɛ	t̪ʰ ɛ	
81	Gyalsumdo	Potato	alo	alo	a + l o	a + l o	
82	Gyalsumdo	Eggplant	penda	penda	p e n + d̪ a	p e.n + d̪ a	
83	Gyalsumdo	Groundnut	pəd̪am	pəd̪am	p ə + d̪ a m	p ə + d̪ a.m	
84	Gyalsumdo	Chilli	maɾtsʰa	maɾtsʰa	m a ɾ + tsʰ a	m a.ɾ + tsʰ a	
85	Gyalsumdo	Turmeric	peɕaɹ	peɕaɹ	p e + !ɕ/s a ɹ	p e + !ɕ/s a.ɹ	
86	Gyalsumdo	Garlic	kɔkpa	kɔkpa	k ɔ k + p a	k ɔ.k + p a	
87	Gyalsumdo	Onion	pjaz	pjaz	p j a z	p.j a.z	
88	Gyalsumdo	Cauliflower	kəuli	kəuli	k əu + l i	k əu + l i	
89	Gyalsumdo	Tomato	kolbenda	kolbenda	k o l + b e n + d̪ a	k o.l + b e.n + d̪ a	
90	Gyalsumdo	Cabbage	pənd̪a	pənd̪a	p ə n + d̪ a	p ə.n + d̪ a	
91	Gyalsumdo	Oil	maɹku	maɹku	m a ɹ + k u	m a.ɹ + k u	
92	Gyalsumdo	Salt	tsʰa	tsʰa	tsʰ a	tsʰ a	1380
93	Gyalsumdo	Meat	ɕja	ɕja	ɕ j a	ɕ.j a	1325
94	Gyalsumdo	Fat (of meat)	tsʰulu	tsʰulu	tsʰ u + l u	tsʰ u + l u	
95	Gyalsumdo	Fish	ɲa	ɲa	ɲ a	ɲ a	1255
96	Gyalsumdo	Chicken	tɕʰiptʰuk	tɕʰiptʰuk	tɕʰ i p + t̪ʰ u k	tɕʰ i.p + t̪ʰ u.k	
97	Gyalsumdo	Egg	koŋa	koŋa	k o + ŋ a	k o + ŋ a	1242
98	Gyalsumdo	Cow	poɡo	poɡo	p o + g o	p o + g o	
99	Gyalsumdo	Buffalo	maji	maji	m a + j i	m a + j i	
100	Gyalsumdo	Milk	oma	oma	o + m a	o + m a	
101	Gyalsumdo	Horns	ɹakjo	ɹakjo	ɹ a + k j o	ɹ a + k.j o	1292
102	Gyalsumdo	Tail	ŋama	ŋama	ŋ a + m a	ŋ a + m a	1419
103	Gyalsumdo	Goat	ɹa	ɹa	ɹ a	ɹ a	1269
104	Gyalsumdo	Dog	kjupu	kjupu	!k/kʰ j u + p u	!k/kʰ.j u + p u	1231
105	Gyalsumdo	Dog	ki	ki	!k/kʰ i	!k/kʰ i	1231
106	Gyalsumdo	Snake	tul	tul	t̪ u l	t̪ u.l	1401
107	Gyalsumdo	Monkey	tɛmaɹ	tɛmaɹ	t̪ ɛ + m a ɹ	t̪ ɛ + m a.ɹ	
108	Gyalsumdo	Monkey	te	te	t̪ e	t̪ e	
109	Gyalsumdo	Mosquito	lamkute	lamkute	l a m + k u + t̪ e	l a.m + k u + t̪ e	523
110	Gyalsumdo	Ant	tomaɹ	tomaɹ	t̪ o + m a ɹ	t̪ o + m a.ɹ	1183
111	Gyalsumdo	Spider	palba	palba	p a l + b a	p a.l + b a	748
112	Gyalsumdo	Name	miŋ	miŋ	m i ŋ	m i.ŋ	1344
113	Gyalsumdo	Man	mi	mi	m i	m i	
114	Gyalsumdo	Woman	pomo	pomo	p o + m o	p o + m o	1227
115	Gyalsumdo	Child	tuɡu	tuɡu	t̪ u + g u	t̪ u + g u	
116	Gyalsumdo	Father	apa	apa	a + p a	a + p a	1249
117	Gyalsumdo	Mother	ama	ama	a + m a	a + m a	1338
118	Gyalsumdo	Older brother	atɕjo	atɕjo	a + tɕj/tɕ o	a + tɕj/tɕ o	
119	Gyalsumdo	Younger brother	no	no	n o	n o	
120	Gyalsumdo	Older sister	atɕi	atɕi	a + tɕ i	a + tɕ i	
121	Gyalsumdo	Younger sister	numu	numu	n u + m u	n u + m u	
122	Gyalsumdo	Son	pitsa	pitsa	p i + ts a	p i + ts a	1403
123	Gyalsumdo	Daughter	pomo	pomo	p o + m o	p o + m o	1227
124	Gyalsumdo	Husband	kʰjoka	kʰjoka	kʰ j o + k a	kʰ.j o + k a	1304
125	Gyalsumdo	Husband	kʰjoɡa	kʰjoɡa	kʰ j o + g a	kʰ.j o + g a	1304
126	Gyalsumdo	Wife	keɹme	keɹme	k e ɹ + m e	k e.ɹ + m e	71
127	Gyalsumdo	Boy	pitsa	pitsa	p i + ts a	p i + ts a	
128	Gyalsumdo	Boy	pu	pu	p !u/o	p !u/o	
129	Gyalsumdo	Girl	pomo	pomo	p o + m o	p o + m o	
130	Gyalsumdo	Day	ɕjaŋma	ɕjaŋma	ɕ j a ŋ + m a	ɕ.j a.ŋ + m a	
131	Gyalsumdo	Night	tsʰemu	tsʰemu	tsʰ e + m u	tsʰ e + m u	
132	Gyalsumdo	Morning	namʑen	namʑen	n a m + ʑ e n	n a.m + ʑ e.n	92
133	Gyalsumdo	Noon	ɲimaɡuŋ	ɲimaɡuŋ	ɲ i + m a + g u ŋ	ɲ i + m a + g u.ŋ	
134	Gyalsumdo	Evening	kɔŋmo	kɔŋmo	k ɔ ŋ + m o	k ɔ.ŋ + m o	
135	Gyalsumdo	Yesterday	t̪aŋ	t̪aŋ	t̪ a ŋ	t̪ a.ŋ	1151
136	Gyalsumdo	Today	t̪iɹiŋ	t̪iɹiŋ	t̪ i + ɹ i ŋ	t̪ i + ɹ i.ŋ	1438
137	Gyalsumdo	Tomorrow	ŋato	ŋato	ŋ a !Ø/ɹ + t̪ o	ŋ a.!Ø/ɹ + t̪ o	1028
138	Gyalsumdo	Week	t̪ynta	t̪ynta	t̪ y n + t̪ a	t̪ y.n + t̪ a	
139	Gyalsumdo	Week	t̪ynzi	t̪ynzi	t̪ y n + z i	t̪ y.n + z i	
140	Gyalsumdo	Month	t̪awa	t̪awa	t̪ a + w a	t̪ a + w a	
141	Gyalsumdo	Year	lo	lo	l o	l o	1494
142	Gyalsumdo	Old	ɲiŋpa	ɲiŋpa	ɲ i ŋ + p a	ɲ i.ŋ + p a	
143	Gyalsumdo	New	sampa	sampa	s a + ⁿp/p a	s a + ⁿp/p a	1349
144	Gyalsumdo	Good	jabu	jabu	j a + b u	j a + b u	1272
145	Gyalsumdo	Bad	majabu	majabu	m a + j a + b u	m a + j a + b u	33
146	Gyalsumdo	Wet	taŋmu	taŋmu	t̪ a ŋ + m u	t̪ a.ŋ + m u	179
147	Gyalsumdo	Dry	kəmpu	kəmpu	k ə m + p u	k ə.m + p u	1234
148	Gyalsumdo	Long	ɹiŋbu	ɹiŋbu	ɹ i ŋ + b u	ɹ i.ŋ + b u	1321
149	Gyalsumdo	Short	t̪øma	t̪øma	t̪ ø + m a	t̪ ø + m a	1386
150	Gyalsumdo	Hot	tsʰant̪i	tsʰant̪i	tsʰ a + ⁿt̪/t̪ i	tsʰ a + ⁿt̪/t̪ i	1296
151	Gyalsumdo	Cold	taŋmu	taŋmu	t̪ a ŋ + m u	t̪ a.ŋ + m u	179
152	Gyalsumdo	Right	jøba	jøba	j ø + b a	j ø + b a	1365
153	Gyalsumdo	Left	jøma	jøma	j ø + m a	j ø + m a	1317
154	Gyalsumdo	Near	ɲemu	ɲemu	ɲ e + m u	ɲ e + m u	1345
155	Gyalsumdo	Far	t̪ʰaɹiŋbu	t̪ʰaɹiŋbu	t̪ʰ a + ɹ i ŋ + b u	t̪ʰ a + ɹ i.ŋ + b u	1247
156	Gyalsumdo	Big	tɕʰjumbu	tɕʰjumbu	tɕʰj/tɕʰ u + ⁿb/b u	tɕʰj/tɕʰ u + ⁿb/b u	1195
157	Gyalsumdo	Small	tɕema	tɕema	!tɕ/tɕʰ e + m a	!tɕ/tɕʰ e + m a	731
158	Gyalsumdo	Heavy	tɕent̪i	tɕent̪i	tɕ e + ⁿt̪/t̪ i	tɕ e + ⁿt̪/t̪ i	1290
159	Gyalsumdo	Light	jaŋmu	jaŋmu	j a ŋ + m u	j a.ŋ + m u	1319
160	Gyalsumdo	Above	ɲala	ɲala	ɲ a + l a	ɲ a + l a	180
161	Gyalsumdo	Below	wala	wala	w a + l a	w a + l a	
162	Gyalsumdo	White	kaɹpu	kaɹpu	k a ɹ + p u	k a.ɹ + p u	1472
163	Gyalsumdo	Black	nakpu	nakpu	n a k + p u	n a.k + p u	1203
164	Gyalsumdo	Red	maɹpu	maɹpu	m a ɹ + p u	m a.ɹ + p u	1360
165	Gyalsumdo	One	tɕiɡ	tɕiɡ	tɕ i g/k	tɕ i.g/k	1354
166	Gyalsumdo	Two	ɲi	ɲi	ɲ i	ɲ i	1067
167	Gyalsumdo	Three	sum	sum	s u m	s u.m	1433
168	Gyalsumdo	Four	ɕi	ɕi	ɕ i	ɕ i	1230
169	Gyalsumdo	Five	ŋa	ŋa	ŋ a	ŋ a	1310
170	Gyalsumdo	Six	tuk	tuk	!t̪/t̪ʰ u k	!t̪/t̪ʰ u.k	1388
171	Gyalsumdo	Six	tʰuk	tʰuk	t̪ʰ u k	t̪ʰ u.k	1388
172	Gyalsumdo	Seven	t̪yn	t̪yn	t̪ y n	t̪ y.n	1384
173	Gyalsumdo	Eight	ke	ke	k e	k e	1245
174	Gyalsumdo	Nine	ku	ku	k u	k u	1351
175	Gyalsumdo	Ten	tɕu	tɕu	tɕ u !Ø/k	tɕ u.!Ø/k	1422
176	Gyalsumdo	Eleven	tɕuktɕik	tɕuktɕik	tɕ u k + tɕ i k	tɕ u.k + tɕ i.k	
177	Gyalsumdo	Twelve	tɕuɲi	tɕuɲi	tɕ u !Ø/k + ɲ i	tɕ u.!Ø/k + ɲ i	
178	Gyalsumdo	Twenty	ɲiɕu	ɲiɕu	ɲ i + ɕ/tɕ u !Ø/k	ɲ i + ɕ/tɕ u.!Ø/k	1451
179	Gyalsumdo	One Hundred	kja	kja	k j a	k.j a	1303
180	Gyalsumdo	Who	su	su	s u	s u	1474
181	Gyalsumdo	What	tɕi	tɕi	tɕ i	tɕ i	1464
182	Gyalsumdo	Where	kəɹu	kəɹu	k ə + ɹ u	k ə + ɹ u	1470
183	Gyalsumdo	When	nam	nam	n a m	n a.m	
184	Gyalsumdo	How many	katse	katse	k a + ts e	k a + ts e	
185	Gyalsumdo	Which	kand̪i	kand̪i	k a n + !d/t̪ i	k a.n + !d/t̪ i	
186	Gyalsumdo	This	t̪i	t̪i	t̪ i	t̪ i	1428806
187	Gyalsumdo	That	ot̪i	ot̪i	o + t̪ i	o + t̪ i	786
188	Gyalsumdo	These	t̪ija	t̪ija	t̪ i + j a	t̪ i + j a	
189	Gyalsumdo	Those	kʰuŋja	kʰuŋja	kʰ u ŋ + j a	kʰ u.ŋ + j a	
190	Gyalsumdo	Same	ot̪iɹaŋ	ot̪iɹaŋ	o + t̪ i + ɹ a ŋ	o + t̪ i + ɹ a.ŋ	
191	Gyalsumdo	Same	od̪iɹaŋ	od̪iɹaŋ	o + !d̪/t̪ i + ɹ a ŋ	o + !d̪/t̪ i + ɹ a.ŋ	
192	Gyalsumdo	Same	taɡe	taɡe	t̪ a + g e	t̪ a + g e	
193	Gyalsumdo	Different	mendaɡe	mendaɡe	m !e/a + !ⁿd/t̪ a + g e	m !e/a + !ⁿd/t̪ a + g e	
194	Gyalsumdo	Whole	t̪aɡɹaŋ	t̪aɡɹaŋ	t̪ a g/k + ɹ a ŋ	t̪ a.g/k + ɹ a.ŋ	
195	Gyalsumdo	Broken	tɕʰjakpu	tɕʰjakpu	tɕʰj/tɕʰ a k + p u	tɕʰj/tɕʰ a.k + p u	
196	Gyalsumdo	Few	ɲuŋe	ɲuŋe	ɲ u + ŋ e	ɲ u + ŋ e	
197	Gyalsumdo	Many	maŋbu	maŋbu	m a ŋ + b u	m a.ŋ + b u	1323
198	Gyalsumdo	All	t̪aɡɹaŋ	t̪aɡɹaŋ	t̪ a g/k + ɹ a ŋ	t̪ a.g/k + ɹ a.ŋ	154
199	Gyalsumdo	To eat	se	se	s e	s e	1311
200	Gyalsumdo	To bite	ale	ale	a + l e	a + l e	851
201	Gyalsumdo	To bite	soɡjapb	soɡjapb	s o + g j a !pb/p	s o + g.j a.!pb/p	1198
202	Gyalsumdo	To be hungry	t̪oɡɛ	t̪oɡɛ	t̪ o + g ɛ	t̪ o + g ɛ	
203	Gyalsumdo	To drink	t̪ʰuŋ	t̪ʰuŋ	t̪ʰ u ŋ	t̪ʰ u.ŋ	1232
204	Gyalsumdo	To be thirsty	kʰakomkɛ	kʰakomkɛ	kʰ a + k o m + k ɛ	kʰ a + k o.m + k ɛ	
205	Gyalsumdo	To sleep	ɲal	ɲal	ɲ a l	ɲ a.l	1394
206	Gyalsumdo	To lie	tʰelaɲal	tʰelaɲal	t̪ʰ e + l a + ɲ a l	t̪ʰ e + l a + ɲ a.l	
207	Gyalsumdo	To sit	t̪e	t̪e	t̪ e	t̪ e	
208	Gyalsumdo	To give	t̪eɹ	t̪eɹ	t̪ e ɹ	t̪ e.ɹ	903
209	Gyalsumdo	To burn	takɛ	takɛ	t̪ a + k ɛ	t̪ a + k ɛ	
210	Gyalsumdo	To die	ɕi	ɕi	ɕ i	ɕ i	1230
211	Gyalsumdo	To kill	se	se	s e	s e	1311
212	Gyalsumdo	To fly	pʰiɹ	pʰiɹ	pʰ i ɹ	pʰ i.ɹ	1259
213	Gyalsumdo	To walk	kju	kju	k j u	k.j u	1013
214	Gyalsumdo	To run	t̪aɹkjulaŋ	t̪aɹkjulaŋ	t̪ a ɹ + k j u + l a ŋ	t̪ a.ɹ + k.j u + l a.ŋ	20
215	Gyalsumdo	To go	to	to	!t/t̪ o	!t/t̪ o	
216	Gyalsumdo	To come	ɕjo	ɕjo	ɕ j o	ɕ.j o	1224
217	Gyalsumdo	To come	oŋ	oŋ	o ŋ	o.ŋ	1223
218	Gyalsumdo	To speak	labt̪aŋɡɛ	labt̪aŋɡɛ	l a b + t̪ a ŋ + g ɛ	l a.b + t̪ a.ŋ + g ɛ	
219	Gyalsumdo	To hear/listen	ɲin	ɲin	ɲ i n	ɲ i.n	
220	Gyalsumdo	To look	t̪e	t̪e	t̪ e	t̪ e	
221	Gyalsumdo	I	ŋa	ŋa	ŋ a	ŋ a	1310
222	Gyalsumdo	You (informal)	kʰe	kʰe	kʰ !Ø/j e	kʰ.!Ø/j e	1430
223	Gyalsumdo	You (formal)	kʰela	kʰela	kʰ !Ø/j e + l a	kʰ.!Ø/j e + l a	
224	Gyalsumdo	You (formal)	kʰeɹaŋ	kʰeɹaŋ	kʰ !Ø/j e + ɹ a ŋ	kʰ.!Ø/j e + ɹ a.ŋ	
225	Gyalsumdo	He	kʰo	kʰo	kʰ o	kʰ o	
226	Gyalsumdo	She	mo	mo	m o	m o	
227	Gyalsumdo	We (inclusive)	ɲi	ɲi	ɲ i	ɲ i	1067
228	Gyalsumdo	We (inclusive)	ɲija	ɲija	ɲ i + j a	ɲ i + j a	1067
229	Gyalsumdo	We (inclusive)	ɲiɹaŋ	ɲiɹaŋ	ɲ i + ɹ a ŋ	ɲ i + ɹ a.ŋ	1066
230	Gyalsumdo	We (exclusive)	oɹaŋ	oɹaŋ	o + ɹ a ŋ	o + ɹ a.ŋ	
231	Gyalsumdo	You (plural)	kʰija	kʰija	kʰ i + j a	kʰ i + j a	22
232	Gyalsumdo	They	kʰuŋja	kʰuŋja	kʰ u + !ŋ/k j a	kʰ u + !ŋ/k.j a	
233	Gyalsumdo	Load	kʰuɹpu	kʰuɹpu	kʰ u ɹ + p u	kʰ u.ɹ + p u	
234	Gyalsumdo	Flour (eaten as food)	tsampa	tsampa	ts a m + p a	ts a.m + p a	
235	Gyalsumdo	Hailstone	seɹa	seɹa	s e + ɹ a	s e + ɹ a	1280
236	Gyalsumdo	Intestine	kjuma	kjuma	k j u + m a	k.j u + m a	
237	Gyalsumdo	Intestine	kʰjuma	kʰjuma	!kʰ/k j u + m a	!kʰ/k.j u + m a	
238	Gyalsumdo	Yard	kɔɹtsa	kɔɹtsa	k ɔ ɹ + ts a	k ɔ.ɹ + ts a	
239	Gyalsumdo	To uproot	pi	pi	p i	p i	
240	Gyalsumdo	Oven	t̪ʰab	t̪ʰab	t̪ʰ a b	t̪ʰ a.b	
241	Gyalsumdo	Heel	t̪iŋpa	t̪iŋpa	t̪ i ŋ + p a	t̪ i.ŋ + p a	
242	Gyalsumdo	Spade	t̪oktsi	t̪oktsi	t̪ o k + ts i	t̪ o.k + ts i	
243	Gyalsumdo	Horse	t̪abu	t̪abu	t̪ a + b u	t̪ a + b u	1294
244	Gyalsumdo	To plough	møkɛ	møkɛ	m ø + k ɛ	m ø + k ɛ	
245	Gyalsumdo	Bond	kamkja	kamkja	k a m + k j a	k a.m + k.j a	
246	Gyalsumdo	Beam (main wooden beam)	kuŋkju	kuŋkju	k u ŋ + k j u	k u.ŋ + k.j u	
247	Gyalsumdo	Rope used to tie animals	t̪ʰakpa	t̪ʰakpa	t̪ʰ a k + p a	t̪ʰ a.k + p a	
248	Gyalsumdo	Beard	kja	kja	k j a	k.j a	
249	Gyalsumdo	To measure	t̪apkɛ	t̪apkɛ	t̪ a p + k ɛ	t̪ a.p + k ɛ	
250	Gyalsumdo	Plank	t̪al	t̪al	t̪ a l	t̪ a.l	
251	Gyalsumdo	Hole	miksaŋ	miksaŋ	m i k + s a ŋ	m i.k + s a.ŋ	
252	Gyalsumdo	Plough (noun)	t̪ʰoŋpa	t̪ʰoŋpa	t̪ʰ o ŋ + p a	t̪ʰ o.ŋ + p a	
253	Gyalsumdo	Lid (cover)	kʰəptɕu	kʰəptɕu	kʰ ə p + tɕ u	kʰ ə.p + tɕ u	
254	Gyalsumdo	Handle	juwa	juwa	j u + w a	j u + w a	
255	Gyalsumdo	Bear	t̪om	t̪om	t̪ o m	t̪ o.m	
256	Gyalsumdo	Ghost	nøpa	nøpa	n ø + p a	n ø + p a	
257	Gyalsumdo	Manure	ly	ly	l y	l y	
258	Gyalsumdo	Bread	kjaŋ	kjaŋ	k j a ŋ	k.j a.ŋ	
259	Gyalsumdo	Corpse	ɹo	ɹo	ɹ o	ɹ o	
260	Gyalsumdo	Pig	pʰakpa	pʰakpa	pʰ a k + p a	pʰ a.k + p a	1356
261	Gyalsumdo	Grains	tʰu	tʰu	!tʰ/t̪ u	!tʰ/t̪ u	
262	Gyalsumdo	Stick	kjukpa	kjukpa	k j u k + p a	k.j u.k + p a	1413
263	Gyalsumdo	Sweat	ŋulna	ŋulna	ŋ u l + n a	ŋ u.l + n a	
264	Gyalsumdo	To chew	leke	leke	l e + k e	l e + k e	867
265	Gyalsumdo	To swallow	mikɛ	mikɛ	m i + k ɛ	m i + k ɛ	
266	Gyalsumdo	To throw	jukɛ	jukɛ	j u + k ɛ	j u + k ɛ	178
267	Gyalsumdo	To throw	juɹkɛ	juɹkɛ	j u ɹ + k ɛ	j u.ɹ + k ɛ	178
268	Jirel	Body	dziu	dziu	dz iu	dz iu	
269	Jirel	Head	ŋɡo	ŋɡo	ⁿg/g o	ⁿg/g o	1284
270	Jirel	Hair	ŋɡokita	ŋɡokita	ⁿg/g o + k i + t̪ a	ⁿg/g o + k i + t̪ a	1282
271	Jirel	Face	tɕʰet̪	tɕʰet̪	tɕʰ e t̪	tɕʰ e.t̪	
272	Jirel	Eye	mik	mik	m i k	m i.k	1246
273	Jirel	Ear	n̪amdʑjok	n̪amdʑjok	n a m + dʑj/dʑ o k	n a.m + dʑj/dʑ o.k	1238
274	Jirel	Nose	n̪əu	n̪əu	n əu	n əu	1352
275	Jirel	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
276	Jirel	Teeth	sa	sa	s a	s a	1446
277	Jirel	Tongue	tselak	tselak	!ts/tɕ e + l a k	!ts/tɕ e + l a.k	1444
278	Jirel	Breast	n̪uma	n̪uma	n u + m a	n u + m a	1210
