ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS_IN_SOURCE	TOKENS	COGID
1	Gyalsumdo	Body	suɡu	suɡu	s u + g u	s u + g u	
2	Gyalsumdo	Head	ko	ko	k o	k o	1284
3	Gyalsumdo	Hair	ta	ta	t̪ a	t̪ a	1282
4	Gyalsumdo	Face	ŋot̪oŋ	ŋot̪oŋ	ŋ o + t̪ o ŋ	ŋ o + t̪ o.ŋ	
5	Gyalsumdo	Eye	mi	mi	m i	m i	1246
6	Gyalsumdo	Ear	amtɕo	amtɕo	a m + tɕ o	a.m + tɕ o	1239
7	Gyalsumdo	Ear	amdʑo	amdʑo	a m + !dʑ/tɕ o	a.m + !dʑ/tɕ o	1239
8	Gyalsumdo	Nose	naɾki	naɾki	n aɾ/a + k i	n aɾ/a + k i	1352
9	Gyalsumdo	Mouth	kʰa	kʰa	kʰ a	kʰ a	1340
10	Gyalsumdo	Teeth	so	so	s o	s o	1446
11	Gyalsumdo	Tongue	tɕemu	tɕemu	tɕ e + m u	tɕ e + m u	1444
12	Gyalsumdo	Breast	oma	oma	o + m a	o + m a	1211
13	Gyalsumdo	Breast	ɦoma	ɦoma	ɦ o + m a	ɦ o + m a	1211
14	Gyalsumdo	Belly	toba	toba	t̪ o + b a	t̪ o + b a	1193
15	Gyalsumdo	Arm/Hand	laɡpa	laɡpa	l a g/k + p a	l a.g/k + p a	
16	Gyalsumdo	Elbow	temaɲuŋ	temaɲuŋ	t̪ e + m a + ɲ u ŋ	t̪ e + m a + ɲ u.ŋ	
17	Gyalsumdo	Palm	laɡpat̪ʰil	laɡpat̪ʰil	l a g/k + p a + t̪ʰ i l	l a.g/k + p a + t̪ʰ i.l	
18	Gyalsumdo	Palm	laɡt̪ʰel	laɡt̪ʰel	l a g/k + t̪ʰ e l	l a.g/k + t̪ʰ e.l	
19	Gyalsumdo	Finger	tsuɡu	tsuɡu	ts u + g u	ts u + g u	
20	Gyalsumdo	Fingernail	seɹmu	seɹmu	s e ɹ + m u	s e.ɹ + m u	
21	Gyalsumdo	Leg	kaŋpa	kaŋpa	k a ŋ + p a	k a.ŋ + p a	
22	Gyalsumdo	Skin	paɡpa	paɡpa	p a g/k + p a	p a.g/k + p a	1389
23	Gyalsumdo	Skin	poɡo	poɡo	p o + g o	p o + g o	1389
24	Gyalsumdo	Bone	ɹoɡo	ɹoɡo	ɹ o + g o	ɹ o + g o	1208
25	Gyalsumdo	Heart	ɲiŋ	ɲiŋ	ɲ i ŋ	ɲ i.ŋ	1288
26	Gyalsumdo	Blood	tʰak	tʰak	t̪ʰ a k	t̪ʰ a.k	1206
27	Gyalsumdo	Urine	tɕiŋ	tɕiŋ	!tɕ/ts i ŋ	!tɕ/ts i.ŋ	
28	Gyalsumdo	Faeces	kjaɡpa	kjaɡpa	k j a g/k + p a	k.j a.g/k + p a	
29	Gyalsumdo	Village	jul	jul	j u l	j u.l	
30	Gyalsumdo	House	kʰaŋpa	kʰaŋpa	kʰ a ŋ + p a	kʰ a.ŋ + p a	402
31	Gyalsumdo	Roof	kʰaŋt̪ø	kʰaŋt̪ø	kʰ a ŋ + t̪ ø	kʰ a.ŋ + t̪ ø	
32	Gyalsumdo	Roof	t̪ʰo	t̪ʰo	t̪ʰ o	t̪ʰ o	
33	Gyalsumdo	Door	ko	ko	k o	k o	
34	Gyalsumdo	Firewood	ɕiŋ	ɕiŋ	ɕ i ŋ	ɕ i.ŋ	1254
35	Gyalsumdo	Broom	tɕʰama	tɕʰama	tɕʰ a + m a	tɕʰ a + m a	
36	Gyalsumdo	Mortar	t̪ʰasa	t̪ʰasa	t̪ʰ a + s a	t̪ʰ a + s a	
37	Gyalsumdo	Mortar	koɡtsʰum	koɡtsʰum	k o g/k + tsʰ u m	k o.g/k + tsʰ u.m	
38	Gyalsumdo	Pestle	koɡt̪o	koɡt̪o	k o g/k + t̪ o	k o.g/k + t̪ o	
39	Gyalsumdo	Hammer	t̪ʰowa	t̪ʰowa	t̪ʰ o + w a	t̪ʰ o + w a	
40	Gyalsumdo	Knife	kaɾt̪a	kaɾt̪a	k a ɾ + t̪ a	k a.ɾ + t̪ a	422
41	Gyalsumdo	Axe	t̪aɹi	t̪aɹi	t̪ a + ɹ i	t̪ a + ɹ i	
42	Gyalsumdo	Rope	t̪ʰaɡpa	t̪ʰaɡpa	t̪ʰ a !g/k + p a	t̪ʰ a.!g/k + p a	1374
43	Gyalsumdo	Thread	kupa	kupa	k u + p a	k u + p a	
44	Gyalsumdo	Needle	kʰap	kʰap	kʰ a p	kʰ a.p	1348
45	Gyalsumdo	Cloth	køla	køla	k ø + l a	k ø + l a	
46	Gyalsumdo	Ring	soɹt̪ob	soɹt̪ob	s o ɹ + t̪ o b	s o.ɹ + t̪ o.b	
47	Gyalsumdo	Sun	ɲima	ɲima	ɲ i + m a	ɲ i + m a	1418
48	Gyalsumdo	Moon	t̪akaɹ	t̪akaɹ	t̪ a + k a ɹ	t̪ a + k a.ɹ	1327
