ID	DOCULECT	CONCEPT	FORM	TOKENS	COGIDS	MORPHEMES	ALIGNMENT	COGID	SOURCE	NOTE
41	Gyalsumdo	Axe	t̪aɹi	t̪ a + ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
303	Jirel	Axe	t̪əɹi	t̪ ə + ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
562	Kagate	Axe	t̪əri	t̪ ə + r i	88 89	axe _/ri		30	Dhakal2024	[x]
816	Lowa	Axe	t̪iɾi	t̪ i + ɾ i	88 89	axe _/ri		30	Dhakal2024	[x]
1072	Nubri	Axe	t̪aɹi	t̪ a + ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
1321	Sherpa	Axe	t̪əɹi	t̪ ə + ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
1566	Tsum	Axe	t̪aɾi	t̪ a + ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
1827	Yolmo	Axe	t̪aɾi	t̪ a + ɾ/ɹ i	88 89	axe _/ri		30	Dhakal2024	[x]
145	Gyalsumdo	Bad	majabu	m a + j a + b u	105 1149 107	not good _:bu-suffix/bu		33	Dhakal2024	[x]
403	Jirel	Bad	meleba	m e + l e + b a	105 108 10	_bad good/le _:pa-suffix		110	Dhakal2024	[x]
661	Kagate	Bad	majiba	m a + j i + b a	105 110 10	not good/ji _:ba-suffix		114	Dhakal2024	[x]
662	Kagate	Bad	marikpa	m a + r i.k + !p/b a	105 117 10	not good/rik _:ba-suffix		111	Dhakal2024	[x]
917	Lowa	Bad	a	a	111	bad		39	Dhakal2024	[x]
918	Lowa	Bad	ŋempa	ŋ e.m + p a	115 10	bad/ŋem _:pa-suffix		32	Dhakal2024	[x]
1168	Nubri	Bad	ɦawɛ	ɦ a + w ɛ	112 113	bad/ha bad/we		40	Dhakal2024	[x]
1419	Sherpa	Bad	melokpa	m e + l o.k + p a	105 114 10	not good/lok _:pa-suffix		112	Dhakal2024	[x]
1662	Tsum	Bad	nepo	n e + p o	115 109	bad/ne _:po-suffix		32	Dhakal2024	[x]
1924	Yolmo	Bad	tsokpa	ts o.k + p a	116 10	bad/tsok _:pa-suffix/pa		116	Dhakal2024	[x]
76	Gyalsumdo	Banana	keɹa	k e + ɹ a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
337	Jirel	Banana	ɹeŋaɕiŋ	ɹ e + ŋ a + ɕ i.ŋ	131 67 991	banana/re banana/ŋa _tree/siŋ		46	Dhakal2024	[?]
595	Kagate	Banana	alamu	a + l a + m u	134 135 136	banana/a banana/la banana/mu		47	Dhakal2024	[?]
851	Lowa	Banana	keɾa	k e + ɾ a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
1105	Nubri	Banana	kela	k e + l a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
1355	Sherpa	Banana	kera	k e + r a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
1599	Tsum	Banana	keɾa	k e + ɹ a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
1861	Yolmo	Banana	keɾa	k e + ɾ/ɹ a	130 131	banana/ke banana/ra		45	Dhakal2024	[x]
78	Gyalsumdo	Barley	tsəu	ts əu	149	barley		52	Dhakal2024	[x]
339	Jirel	Barley	ndzəu	!ⁿdz/ts əu	149	barley		52	Dhakal2024	[x]
597	Kagate	Barley	wa	w a	150	barley/wa		54	Dhakal2024	[x]
853	Lowa	Barley	ne	n e	151	barley/ne		53	Dhakal2024	[x]
1107	Nubri	Barley	n̪e:	n eː	151	barley/ne		53	Dhakal2024	[x]
1357	Sherpa	Barley	dzəu	!dz/ts əu	149	barley		52	Dhakal2024	[x]
1601	Tsum	Barley	tsau	ts au	149	barley		52	Dhakal2024	[x]
1863	Yolmo	Barley	dzəu	!dz/ts əu	149	barley		52	Dhakal2024	[x]
246	Gyalsumdo	Beam (main wooden beam)	kuŋkju	k u.ŋ + k.j u	158 159	beam/kuŋ _beam/kju		57	Dhakal2024	[x]
507	Jirel	Beam (main wooden beam)	d̪əlin	d̪ ə + l i.n	160 161	beam/de beam/lin		59	Dhakal2024	[x]
757	Kagate	Beam (main wooden beam)	maid̪an	m ai + d̪ a.n	162 119	beam/mai beam/an		164	Dhakal2024	[x]
1016	Lowa	Beam (main wooden beam)	t̪uŋma	t̪ u.ŋ + m a	118 11	beam/tung _:ma-suffix/ma		55	Dhakal2024	[x]
1263	Nubri	Beam (main wooden beam)	kuŋɕiŋ	k u.ŋ + ɕ i.ŋ	158 991	beam/kuŋ _tree/siŋ		57	Dhakal2024	[x]
1511	Sherpa	Beam (main wooden beam)	d̪uŋma	d̪ u.ŋ + m a	118 11	tree/tung _:ma-suffix		55	Dhakal2024	[x]
1765	Tsum	Beam (main wooden beam)	t̪uŋ	t̪ u.ŋ	118	beam/tung		55	Dhakal2024	[x]
2021	Yolmo	Beam (main wooden beam)	t̪uŋma	t̪ u.ŋ + m a	118 11	beam/tung _:ma-suffix		55	Dhakal2024	[x]
255	Gyalsumdo	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
516	Jirel	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
766	Kagate	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
1026	Lowa	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
1272	Nubri	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
1519	Sherpa	Bear	t̪ʰom	!t̪ʰ/t̪ o.m	174	bear		62	Dhakal2024	[x]
1775	Tsum	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
2030	Yolmo	Bear	t̪om	t̪ o.m	174	bear		62	Dhakal2024	[x]
248	Gyalsumdo	Beard	kja	k.j a	325	beard		109	Dhakal2024	[x]
509	Jirel	Beard	d̪aɹi	d̪ a + ɹ i	326 177	*beard/da *beard/ri		169	Dhakal2024	[loan from Nepali]
759	Kagate	Beard	maŋre	m a.ŋ + r e	178 179	beard/mang beard/ra		173	Dhakal2024	[x]
1018	Lowa	Beard	makɾa	m a.k + ɾ a	178 179	beard/ma beard/ra		170	Dhakal2024	[x]
1265	Nubri	Beard	kʰeu	kʰ eu	173	beard/khu		108	Dhakal2024	[x]
1513	Sherpa	Beard	ɡerok	g e + r o.k	175 176	beard/ge beard/rok		171	Dhakal2024	[x]
1767	Tsum	Beard	kja	k.j a	325	beard		109	Dhakal2024	[x]
2023	Yolmo	Beard	kja	k.j a	325	beard		109	Dhakal2024	[x]
14	Gyalsumdo	Belly	toba	t̪ o + b a	183 10	belly/to _:pa-suffix/pa		11	Dhakal2024	[x]
279	Jirel	Belly	suba	s u + b a	257 10	belly/su _:pa-suffix/pa		9	Dhakal2024	[x]
539	Kagate	Belly	topa	t̪ o + p a	183 10	belly/to _:pa-suffix/pa		11	Dhakal2024	[x]
791	Lowa	Belly	pʰowa	pʰ o + w a	184 187	belly/pho _:wa-suffix		63	Dhakal2024	[x]
1049	Nubri	Belly	topa	t̪ o + p a	183 10	belly/to _:pa-suffix/pa		11	Dhakal2024	[x]
1297	Sherpa	Belly	tʰopa	t̪ʰ o + p a	183 10	belly/to _:pa-suffix/pa		11	Dhakal2024	[x]
1542	Tsum	Belly	pʰowa	pʰ o + w a	184 187	belly/pho _:wa-suffix/wa		63	Dhakal2024	[x]
1804	Yolmo	Belly	pʰo	pʰ o	184	belly/pho		63	Dhakal2024	[x]
161	Gyalsumdo	Below	wala	w a + l a	199 200	below/wa _there/la		68	Dhakal2024	[x]
420	Jirel	Below	mima	m i + m a	201 11	below/mi _ma-suffix/ma		69	Dhakal2024	[x]
678	Kagate	Below	wala	w a + l a	199 200	below/wa _there/la		68	Dhakal2024	[x]
934	Lowa	Below	meʔ	m e.ʔ	203	below/me		72	Dhakal2024	[x]
1184	Nubri	Below	ɦo	ɦ o	204	below/ho		73	Dhakal2024	[x]
1435	Sherpa	Below	mamo	m a + m o	202 201	below/ma below/mo		69	Dhakal2024	[x]
1678	Tsum	Below	mau	m a + !Ø/m u	202 201	below/ma below/mo		69	Dhakal2024	[x]
1940	Yolmo	Below	t̪iŋla	t̪ i.ŋ + l a	205 200	below/ting _there/la		2	Dhakal2024	[x]
156	Gyalsumdo	Big	tɕʰjumbu	tɕʰj/tɕʰ u + ⁿb/b u	213 1581	big _:bu-suffix		75	Dhakal2024	tɕʰe «big»
415	Jirel	Big	ndzod̪a	ⁿdz/dz o + d̪ a	155 216	big _/da		77	Dhakal2024	tɕʰe «big»
673	Kagate	Big	tɕʰjombo	tɕʰj/tɕʰ o + ⁿb/b o	213 1581	big _:bu-suffix		75	Dhakal2024	tɕʰe «big»
929	Lowa	Big	tsʰe	tsʰ e	154	big		77	Dhakal2024	tɕʰe «big»
1179	Nubri	Big	tɕjɔ̃mpu	tɕʰj/tɕʰ !ɔ̃/ɔ + ⁿp/p u	213 1581	big _:bu-suffix		75	Dhakal2024	tɕʰe «big»
1430	Sherpa	Big	tɕʰend̪i	tɕʰ e + ⁿd̪/d̪ i	213 217	big _/di		77	Dhakal2024	tɕʰe «big»
1673	Tsum	Big	tɕʰemo	tɕʰ e + m o	213 218	big _:mo-suffix		77	Dhakal2024	tɕʰe «big»
1935	Yolmo	Big	tɕʰjimbu	tɕʰj/tɕʰ i + ⁿb/b u	213 1581	big _:bu-suffix		75	Dhakal2024	tɕʰe «big»
163	Gyalsumdo	Black	nakpu	n a.k + p u	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
422	Jirel	Black	naɡpo	n a.g/k + p o	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
680	Kagate	Black	nakpu	n a.k + p u	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
936	Lowa	Black	naɡpo	n a.g/k + p o	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
1186	Nubri	Black	n̪akpo	!n̪/n a.k + p o	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
1437	Sherpa	Black	nakpu	n a.k + p u	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
1680	Tsum	Black	nakpo	n a.k + p o	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
1942	Yolmo	Black	n̪akpu	!n̪/n a.k + p u	229 1581	black _:bu-suffix/pu		81	Dhakal2024	nag «black»
26	Gyalsumdo	Blood	tʰak	t̪ʰ a.k	246	blood		83	Dhakal2024	[x]
289	Jirel	Blood	tʰak	t̪ʰ a.k	246	blood		83	Dhakal2024	[x]
549	Kagate	Blood	tʰa	t̪ʰ a	246	blood		83	Dhakal2024	[x]
802	Lowa	Blood	tʰak	t̪ʰ a.k	246	blood		83	Dhakal2024	[x]
1059	Nubri	Blood	tʰa	t̪ʰ a	246	blood		83	Dhakal2024	[x]
1307	Sherpa	Blood	tʰak	t̪ʰ a.k	246	blood		83	Dhakal2024	[x]
1552	Tsum	Blood	tʰɹaʔ	t̪ʰ.ɹ a.ʔ	246	blood		83	Dhakal2024	[x]
1814	Yolmo	Blood	tʰa	t̪ʰ a	246	blood		83	Dhakal2024	[x]
1	Gyalsumdo	Body	suɡu	s u + g u	257 256	body _body		84	Dhakal2024	
268	Jirel	Body	dziu	dz iu	170	body		85	Dhakal2024	
527	Kagate	Body	dzubu	dz u + b u	170 258	body _:bu-suffix/bu		85	Dhakal2024	
779	Lowa	Body	suʔ	s u.ʔ	257	body		84	Dhakal2024	
1038	Nubri	Body	su	s u	257	body		84	Dhakal2024	
1286	Sherpa	Body	dzubu	dz u + b u	170 258	body _:bu-suffix/bu		85	Dhakal2024	
1531	Tsum	Body	zu	z u	257	body		84	Dhakal2024	
1792	Yolmo	Body	ndzuɡu	ⁿdz/dz u + g u	170 256	body _body		85	Dhakal2024	
245	Gyalsumdo	Bond	kamkja	k a.m + k.j a	268 269	kam gja		88	Dhakal2024	[x]
506	Jirel	Bond	t̪əmasuk	t̪ ə + m a + s u.k	270 11 124	te _ma-suffix/ma su		93	Dhakal2024	[x]
756	Kagate	Bond	siu	s.!i/j u	272	bond		90	Dhakal2024	[x]
1015	Lowa	Bond	kenka	k e.n + k a	268 269	kam gja		88	Dhakal2024	[x]
1262	Nubri	Bond	kamkja	k a.m + k.j a	268 269	kam gja		88	Dhakal2024	[x]
1510	Sherpa	Bond	ɕju	ɕ.j u	272	bond		90	Dhakal2024	[x]
1764	Tsum	Bond	kamɡja	k a.m + g.j a	268 269	kam gja		88	Dhakal2024	[x]
2019	Yolmo	Bond	t̪əməsu	t̪ ə + m !ə/a + s u	270 11 272	te _ma-suffix/ma su		93	Dhakal2024	[x]
2020	Yolmo	Bond	kamɡja	k a.m + g.j a	268 269	kam gja		88	Dhakal2024	[x]
24	Gyalsumdo	Bone	ɹoɡo	ɹ o + g o	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
287	Jirel	Bone	ɹuba	ɹ u + b a	287 10	bone/ru _:pa-suffix/ba		95	Dhakal2024	[x]
547	Kagate	Bone	rekok	r e + k o.k	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
800	Lowa	Bone	ɹuko	ɹ/ɾ u + k o	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
1057	Nubri	Bone	hɹypa	h.ɹ y + p a	287 10	bone/ru _:pa-suffix/pa		95	Dhakal2024	[x]
1305	Sherpa	Bone	ɹukjok	ɹ u + k.j o.k	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
1550	Tsum	Bone	ɹiɡoʔ	ɹ i + g o.ʔ	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
1812	Yolmo	Bone	ɹeko	ɹ e + k o	287 288	bone/ru _bone/kok		95	Dhakal2024	[x]
127	Gyalsumdo	Boy	pitsa	p i + ts a	487 488	child-1 child-2		98	Dhakal2024	[x]
128	Gyalsumdo	Boy	pu	p !u/o	2515	child-son		78	Dhakal2024	[x]
387	Jirel	Boy	kʰojobopidza	kʰ o + j o + b o + !p/pʰ i + dz a	306 307 308 487 488	? ? ? child-1 child-2		98	Dhakal2024	[x]
644	Kagate	Boy	pituk	p i + t̪ u.k	487 26	child-1 child-3		76	Dhakal2024	[x]
900	Lowa	Boy	pidza	p i + dz a	487 488	child-1 child-2		98	Dhakal2024	[x]
1152	Nubri	Boy	puh	p u.h	2515	child-son		78	Dhakal2024	[x]
1403	Sherpa	Boy	kʰjokpʰedza	kʰ.j o.k + pʰ e + dz a	310 487 488	? child-1 child-2		98	Dhakal2024	[x]
1646	Tsum	Boy	ɕjaɾa	ɕ.j a.!Ø/ɹ + ɹ a	311 168	child-offspring ?		100	Dhakal2024	[x]
1908	Yolmo	Boy	ɕjaɹa	ɕj/ɕ a.!Ø/ɹ + ɹ a	311 168	child-offspring ?		100	Dhakal2024	[x]
258	Gyalsumdo	Bread	kjaŋ	k.j a.ŋ	171	bread		195	Dhakal2024	[x]
519	Jirel	Bread	ɕjoben	ɕ.j o + b e.n	331 332	bread/sju bread/ben		113	Dhakal2024	[x]
769	Kagate	Bread	kʰura	kʰ u + r a	329 172	bread/khu _bread/ra		107	Dhakal2024	[x]
1029	Lowa	Bread	kjaŋ	k.j a.ŋ	171	bread		195	Dhakal2024	[x]
1275	Nubri	Bread	kʰoɹa	kʰ o + ɹ a	329 127	bread/khu _bread/ra		107	Dhakal2024	[x]
1522	Sherpa	Bread	kuri	k u + r i	329 125	bread/khu _bread/ra		107	Dhakal2024	[x]
1778	Tsum	Bread	pakut	p a + k u.t̪	333 334	bread/pa bread/kut		115	Dhakal2024	[x]
2033	Yolmo	Bread	kʰuɹa	kʰ u + ɹ a	329 327	bread/khu _bread/ra		107	Dhakal2024	[x]
12	Gyalsumdo	Breast	oma	o + m a	352 1807	breast-1 mother		117	Dhakal2024	[!] variant, can be excluded
13	Gyalsumdo	Breast	ɦoma	ɦ o + m a	352 1807	breast-1 mother		117	Dhakal2024	[x]
278	Jirel	Breast	n̪uma	n u + m a	169 1807	breast/nu mother		117	Dhakal2024	[i] Exception confirmed via internal comparison.
537	Kagate	Breast	oma	o + m a	352 1807	breast-1 mother		117	Dhakal2024	[x]
538	Kagate	Breast	praŋɡok	p.r a.ŋ + g o.k	357 358	breast/praŋ breast-2/go		119	Dhakal2024	[x]
790	Lowa	Breast	oma	o + m a	352 1807	breast-1 mother		117	Dhakal2024	[x]
1048	Nubri	Breast	tɕju	tɕ.j u	355	breast		122	Dhakal2024	[x]
1296	Sherpa	Breast	oma	o + m a	352 1807	breast-1 mother		117	Dhakal2024	[x]
1541	Tsum	Breast	paʔ	p a.ʔ	356	breast		123	Dhakal2024	[x]
1802	Yolmo	Breast	praŋɡo	p.r a.ŋ + g o	357 358	breast/praŋ breast-2/go		119	Dhakal2024	[x]
1803	Yolmo	Breast	woma	w o + m a	352 1807	breast-1 mother		117	Dhakal2024	[x]
195	Gyalsumdo	Broken	tɕʰjakpu	tɕʰj/tɕʰ a.k + p u	373 1581	broken _:bu-suffix		126	Dhakal2024	[x]
452	Jirel	Broken	tɕʰakpat̪e	tɕʰ a.k + p a + t̪ e	373 10 9	broken _:ba-suffix _:te-suffix/te		126	Dhakal2024	[x]
710	Kagate	Broken	tɕʰjako	tɕʰj/tɕʰ a.k + !Ø/k o	373 377	broken _broken/ko		126	Dhakal2024	[x]
970	Lowa	Broken	tɕʰaɡtɕa	tɕʰ a.g/k + tɕ a	373 378	broken _broken/tsa		126	Dhakal2024	[x]
1217	Nubri	Broken	tɕʰjakjo	tɕʰj/tɕʰ a.k + j o	373 377	broken _broken/kjo		126	Dhakal2024	[x]
1466	Sherpa	Broken	tɕʰjakpa	tɕʰj/tɕʰ a.k + p a	373 10	broken _:ba-suffix		126	Dhakal2024	[x]
1709	Tsum	Broken	tɕʰjako	tɕʰj/tɕʰ a.k + !Ø/k o	373 377	broken _broken/ko		126	Dhakal2024	[x]
1972	Yolmo	Broken	tɕʰjakjo	tɕʰj/tɕʰ a.k + j o	373 377	broken _broken/kjo		126	Dhakal2024	[x]
35	Gyalsumdo	Broom	tɕʰama	tɕʰ a + m a	391 1442	broom/tshag _:ma-suffix/ma		21	Dhakal2024	[x]
297	Jirel	Broom	komuk	k o + m u.k	393 394	broom/koŋ _/muk		132	Dhakal2024	[x]
557	Kagate	Broom	pʰema	pʰ e + m a	391 392	broom/phe _/ma		133	Dhakal2024	[x]
811	Lowa	Broom	tɕʰjaɡma	tɕʰj/tɕʰ a.g/k + m a	391 1442	broom/tshag _:ma-suffix/ma		21	Dhakal2024	[x]
1067	Nubri	Broom	koŋmo	k o.ŋ + m o	393 43	broom _/mo		132	Dhakal2024	[x]
1316	Sherpa	Broom	komi	k o + m i	393 392	broom/koŋ _/mi		132	Dhakal2024	[x]
1561	Tsum	Broom	koŋmo	k o.ŋ + m o	393 43	broom/koŋ _/mo		132	Dhakal2024	[x]
1821	Yolmo	Broom	pʰjama	pʰ.j a + m a	391 392	broom/phe _/ma		21	Dhakal2024	[x]
99	Gyalsumdo	Buffalo	maji	m a + j i	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
360	Jirel	Buffalo	meɕja	m e + !ɕj/j a	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
617	Kagate	Buffalo	mãjĩ	m ã + j ĩ	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
874	Lowa	Buffalo	maji	m a + j i	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
1127	Nubri	Buffalo	maɦi	m a + !ɦ/j i	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
1377	Sherpa	Buffalo	mesi	m e + !s/j i	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
1621	Tsum	Buffalo	maje	m a + j e	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
1883	Yolmo	Buffalo	məji	m ə + j i	408 411	buffalo buffalo-2/ji		138	Dhakal2024	[x]
90	Gyalsumdo	Cabbage	pənd̪a	p ə.n + d̪ a	425 426	cabbage/be cabbage/nda		142	Dhakal2024	[x]
350	Jirel	Cabbage	bənd̪a	b ə.n + d̪ a	425 426	cabbage/be cabbage/nda		142	Dhakal2024	[x]
608	Kagate	Cabbage	bənd̪aɡobi	b ə.n + d̪ a + g o + b i	425 426 427 428	cabbage/be cabbage/nda cabbage/ngo cabbage/pi		142	Dhakal2024	[x]
864	Lowa	Cabbage	ŋɡopi	ⁿg/g o + p i	427 428	cabbage/ngo cabbage/pi		144	Dhakal2024	[x]
1118	Nubri	Cabbage	pənd̪a	p ə.n + d̪ a	425 426	cabbage/be cabbage/nda		142	Dhakal2024	[x]
1368	Sherpa	Cabbage	bənd̪a	b ə.n + d̪ a	425 426	cabbage/be cabbage/nda		142	Dhakal2024	[x]
1612	Tsum	Cabbage	bənd̪a	b ə.n + d̪ a	425 426	cabbage/be cabbage/nda		142	Dhakal2024	[x]
1874	Yolmo	Cabbage	bənd̪aɡobi	b ə.n + d̪ a + g o + b i	425 426 427 428	cabbage/be cabbage/nda cabbage/ngo cabbage/pi		142	Dhakal2024	[x]
88	Gyalsumdo	Cauliflower	kəuli	k əu + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
348	Jirel	Cauliflower	kauli	k au + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
606	Kagate	Cauliflower	kauli	k au + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
862	Lowa	Cauliflower	pʰulkopi	pʰ u.l + k o + p i	1063 25 449	*fruit-2 *ko *pi		146	Dhakal2024	[← Nepali]
1116	Nubri	Cauliflower	kauli	k au + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
1366	Sherpa	Cauliflower	kauli	k au + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
1610	Tsum	Cauliflower	kauli	k au + l i	446 447	*cauli-1 *cauli-2		146	Dhakal2024	[← Hindi(?)]
1872	Yolmo	Cauliflower	pʰulɡobi	pʰ u.l + g o + b i	1063 25 449	*fruit-2 *ko *pi		146	Dhakal2024	[← Nepali]
