ID	DOCULECT	CONCEPT	FORM	TOKENS	COGIDS	MORPHEMES	ALIGNMENT	COGID	SOURCE	NOTE
160	Gyalsumdo	Above	ɲala	ɲ a + l a	1 200	above/nya _there/la		180	Dhakal2024	[x]
419	Jirel	Above	jine	j i + n e	2 24	above/ji above/ne		3	Dhakal2024	[x]
677	Kagate	Above	t̪ʰola	t̪ʰ o + l a	4 200	above/tho _there/la		1	Dhakal2024	[x]
933	Lowa	Above	t̪ʰøʔ	t̪ʰ ø.ʔ	4	above/tho		1	Dhakal2024	[x]
1183	Nubri	Above	kaŋ	k a.ŋ	5	above/kang		6	Dhakal2024	[x]
1434	Sherpa	Above	jajo	j a + j o	6 3	above/ja above/jo		4	Dhakal2024	[x]
1677	Tsum	Above	jau	j a + !Ø/j u	6 3	above/ja above/jo		4	Dhakal2024	[x]
1939	Yolmo	Above	t̪ʰola	t̪ʰ o + l a	4 200	above/tho _there/la		1	Dhakal2024	[x]
198	Gyalsumdo	All	t̪aɡɹaŋ	t̪ a.g/k + ɹ a.ŋ	22 16	all/tag _all/rang		154	Dhakal2024	[x]
455	Jirel	All	ŋɡaŋe	ⁿg/g a + ŋ e	17 18	all/nga _all/nge		8	Dhakal2024	[x]
713	Kagate	All	t̪ʰamdzer	t̪ʰ a.m + dz e.r	91 19	whole/tam all/dzer		150	Dhakal2024	[x]
973	Lowa	All	kiɾi	k i + ɾ i	95 3651	whole/kei whole/ri		149	Dhakal2024	[x]
1220	Nubri	All	tɕjapt̪a	tɕj/tɕ a.p + t̪ a	21 3647	all/tsjop _that		10	Dhakal2024	[x]
1469	Sherpa	All	jukəj	j u + k əi	3653 95	whole/ju whole/kei		148	Dhakal2024	[x]
1712	Tsum	All	tɕjop	tɕj/tɕ o.p	21	all/tsjop		10	Dhakal2024	[x]
1976	Yolmo	All	ndzamaɹaŋ	ⁿdz/dz a + m a + ɹ a.ŋ	90 23 16	all/ndza _all/ma _all/rang		7	Dhakal2024	[x]
110	Gyalsumdo	Ant	tomaɹ	t̪ o + m a.ɹ	32 33	ant _ant/mar		16	Dhakal2024	[x]
371	Jirel	Ant	tʰoŋmatsi	t̪ʰ o.ŋ + m a + ts i	72 11 34	ANT _ma-suffix/ma _/tsi		50	Dhakal2024	[x]
627	Kagate	Ant	tomak	t̪ o + m a.k	32 33	ant _ant/mak		16	Dhakal2024	[x]
884	Lowa	Ant	mbudaɲa	ⁿb/b u + d a + ɲ a	35 143 36	ant-4 ant-5 ant-6		49	Dhakal2024	[x]
1136	Nubri	Ant	hɹomo	h.ɹ o + m o	32 3365	ant _:mu-suffix/mu		16	Dhakal2024	grog «Ameise»
1387	Sherpa	Ant	tʰəksəŋma	t̪ʰ ə.k + s ə.ŋ + m a	37 38 33	ant-2 ant-3 _:ma-suffix/ma		17	Dhakal2024	grog «Ameise»
1630	Tsum	Ant	tɹomu	t̪.ɹ o + m u	32 132	ant _:mo-suffix/mu		16	Dhakal2024	grog «Ameise»
1892	Yolmo	Ant	tomaŋ	t̪.!Ø/ɹ o + m a.ŋ	32 33	ant _ant/maŋ		16	Dhakal2024	grog «Ameise»
15	Gyalsumdo	Arm/Hand	laɡpa	l a.g/k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
280	Jirel	Arm/Hand	lakpa	l a.k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
540	Kagate	Arm/Hand	laɡpa	l a.g/k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
792	Lowa	Arm/Hand	laɡpa	l a.g/k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
1050	Nubri	Arm/Hand	lakpa	l a.k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
1298	Sherpa	Arm/Hand	laɡpa	l a.g/k + p a	52 10	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
1543	Tsum	Arm/Hand	lakpa	l a.k + p a	52 53	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
1805	Yolmo	Arm/Hand	laɡpa	l a.g/k + p a	52 53	arm/hand _:pa-suffix/pa		24	Dhakal2024	[x]
64	Gyalsumdo	Ash	kɔkt̪al	k ɔ.k + !t̪/t̪ʰ a + l !Ø/a	69 70 71	_ash/kok ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
326	Jirel	Ash	t̪ʰala	t̪ʰ a + l a	70 71	ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
584	Kagate	Ash	t̪ʰala	t̪ʰ a + l a	70 71	ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
839	Lowa	Ash	koɡt̪ʰa	k o.g/k + t̪ʰ a	69 70	_ash/kok ash/tha		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1094	Nubri	Ash	kot̪ʰal	k o + t̪ʰ a + l !Ø/a	69 70 71	_ash/kok ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1344	Sherpa	Ash	kʰəsit̪ʰala	kʰ ə + s i + t̪ʰ a + l a	58 59 70 71	_ash/khe _ash/si ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1588	Tsum	Ash	kozal	k o + !z/t̪ʰ a + l !Ø/a	69 70 71	_ash/kok ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
1850	Yolmo	Ash	t̪ʰala	t̪ʰ a + l a	70 71	ash/tha _ash/la		26	Dhakal2024	[x] check with cross-semantic connections between Ash and Dust
