ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morpheme_Structure,Grouped_Segments,Partial_Cognacy,Internal_Cognacy,Combined,Alignment,Subset
Gyalsumdo-20-Body-1,,Gyalsumdo,20-Body,suɡu,suɡu,s u + g u,,Dhakal2024,,,,,body _body,s u + g u,257 256,84,0,s u - + g u,Dhakal2024
Gyalsumdo-91-Head-1,,Gyalsumdo,91-Head,ko,ko,k o,[x],Dhakal2024,1284,,,,head,k o,1263,367,1,k o,Dhakal2024
Gyalsumdo-87-Hair-1,,Gyalsumdo,87-Hair,ta,ta,t̪ a,skra «Haar»,Dhakal2024,1282,,,,hair,t̪ a,1217,354,1,t̪ a,Dhakal2024
Gyalsumdo-60-Face-1,,Gyalsumdo,60-Face,ŋot̪oŋ,ŋot̪oŋ,ŋ o + t̪ o ŋ,[x],Dhakal2024,,,,,_face/ŋo face/toŋ,ŋ o + t̪ o.ŋ,837 838,256,0,ŋ o + t̪ o.ŋ,Dhakal2024
Gyalsumdo-59-Eye-1,,Gyalsumdo,59-Eye,mi,mi,m i,[x] ← Chinese /muk/,Dhakal2024,1246,,,,*eye,m i,828,255,1,m i -,Dhakal2024
Gyalsumdo-52-Ear-1,,Gyalsumdo,52-Ear,amtɕo,amtɕo,a m + tɕ o,[x],Dhakal2024,1239,,,,_ear/am ear/dzo,a.m + tɕ o,7 706,220,1,a.m + tɕ o,Dhakal2024
Gyalsumdo-52-Ear-2,,Gyalsumdo,52-Ear,amdʑo,amdʑo,a m + !dʑ/tɕ o,[x],Dhakal2024,1239,,,,_ear/am ear/dzo,a.m + !dʑ/tɕ o,7 706,220,1,a.m + !dʑ/tɕ o,Dhakal2024
Gyalsumdo-142-Nose-1,,Gyalsumdo,142-Nose,naɾki,naɾki,n aɾ/a + k i,[x],Dhakal2024,1352,,,,nose _/ki,n aɾ/a + k i,1948 1949,567,1,n aɾ/a + k i,Dhakal2024
Gyalsumdo-133-Mouth-1,,Gyalsumdo,133-Mouth,kʰa,kʰa,kʰ a,[x],Dhakal2024,1340,,,,mouth,kʰ a,1821,532,1,kʰ a -,Dhakal2024
Gyalsumdo-211-Teeth-1,,Gyalsumdo,211-Teeth,so,so,s o,[x],Dhakal2024,1446,,,,teeth,s o,2663,781,1,s o,Dhakal2024
Gyalsumdo-210-Tongue-1,,Gyalsumdo,210-Tongue,tɕemu,tɕemu,tɕ e + m u,[x],Dhakal2024,1444,,,,tongue _:mu-suffix/mu,tɕ e + m u,3364 3365,1034,1,tɕ e + m u,Dhakal2024
Gyalsumdo-25-Breast-1,,Gyalsumdo,25-Breast,oma,oma,o + m a,"[!] variant, can be excluded",Dhakal2024,1211,,,,breast-1 mother,o + m a,352 1807,117,1,- o + m a,Dhakal2024
Gyalsumdo-25-Breast-2,,Gyalsumdo,25-Breast,ɦoma,ɦoma,ɦ o + m a,[x],Dhakal2024,1211,,,,breast-1 mother,ɦ o + m a,352 1807,117,1,ɦ o + m a,Dhakal2024
Gyalsumdo-14-Belly-1,,Gyalsumdo,14-Belly,toba,toba,t̪ o + b a,[x],Dhakal2024,1193,,,,belly/to _:pa-suffix/pa,t̪ o + b a,183 10,11,1,t̪ o + b a,Dhakal2024
Gyalsumdo-4-ArmHand-1,,Gyalsumdo,4-ArmHand,laɡpa,laɡpa,l a g/k + p a,[x],Dhakal2024,,,,,arm/hand _:pa-suffix/pa,l a.g/k + p a,52 10,24,0,l a.g/k + p a,Dhakal2024
Gyalsumdo-56-Elbow-1,,Gyalsumdo,56-Elbow,temaɲuŋ,temaɲuŋ,t̪ e + m a + ɲ u ŋ,[?],Dhakal2024,,,,,elbow/ta _:ma-suffix/ma elbow/nuŋ,t̪ e + m a + ɲ u.ŋ,774 1442 776,238,0,t̪ e + m a - + ɲ u.ŋ,Dhakal2024
