ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morpheme_Structure,Grouped_Segments,Partial_Cognacy,Internal_Cognacy,Combined,Alignment,Subset
Gyalsumdo-151-Palm-1,,Gyalsumdo,151-Palm,laɡpat̪ʰil,laɡpat̪ʰil,l a g/k + p a + t̪ʰ i l,[x],Dhakal2024,,,,,_arm/hand _:pa-suffix/pa palm/thil,l a.g/k + p a + t̪ʰ i.l,52 10 2074,607,0,l a.g/k + p a + t̪ʰ i.l,Dhakal2024
Gyalsumdo-151-Palm-2,,Gyalsumdo,151-Palm,laɡt̪ʰel,laɡt̪ʰel,l a g/k + t̪ʰ e l,[x],Dhakal2024,,,,,_arm/hand palm/thil,l a.g/k + t̪ʰ e.l,52 2074,607,0,l a.g/k + t̪ʰ e.l,Dhakal2024
Gyalsumdo-66-Finger-1,,Gyalsumdo,66-Finger,tsuɡu,tsuɡu,ts u + g u,[x],Dhakal2024,,,,,finger/dzu _finger/gu,ts u + g u,951 952,292,0,ts u + g u,Dhakal2024
Gyalsumdo-67-Fingernail-1,,Gyalsumdo,67-Fingernail,seɹmu,seɹmu,s e ɹ + m u,[x] Suffix needs to be understood.,Dhakal2024,,,,,fingernail _:mu-suffix/mu,s e.ɹ + m u,965 3365,297,0,s e.ɹ + m u,Dhakal2024
Gyalsumdo-111-Leg-1,,Gyalsumdo,111-Leg,kaŋpa,kaŋpa,k a ŋ + p a,[x],Dhakal2024,,,,,leg/kaŋ _:pa-suffix/pa,k a.ŋ + p a,1512 10,442,0,k a.ŋ + p a,Dhakal2024
Gyalsumdo-178-Skin-1,,Gyalsumdo,178-Skin,paɡpa,paɡpa,p a g/k + p a,[x],Dhakal2024,1389,,,,skin/pag _:pa-suffix/pa,p a.g/k + p a,2446 10,725,1,p a.g/k + p a,Dhakal2024
Gyalsumdo-178-Skin-2,,Gyalsumdo,178-Skin,poɡo,poɡo,p o + g o,[x],Dhakal2024,1389,,,,skin/pag /go,p o + g o,2447 42,725,1,p o + g o -,Dhakal2024
Gyalsumdo-21-Bone-1,,Gyalsumdo,21-Bone,ɹoɡo,ɹoɡo,ɹ o + g o,[x],Dhakal2024,1208,,,,bone/ru _bone/kok,ɹ o + g o,287 288,95,1,ɹ o + g - o -,Dhakal2024
Gyalsumdo-92-Heart-1,,Gyalsumdo,92-Heart,ɲiŋ,ɲiŋ,ɲ i ŋ,[x],Dhakal2024,1288,,,,heart,ɲ i.ŋ,1274,369,1,ɲ i.ŋ,Dhakal2024
Gyalsumdo-18-Blood-1,,Gyalsumdo,18-Blood,tʰak,tʰak,t̪ʰ a k,[x],Dhakal2024,1206,,,,blood,t̪ʰ a.k,246,83,1,t̪ʰ a.k,Dhakal2024
Gyalsumdo-218-Urine-1,,Gyalsumdo,218-Urine,tɕiŋ,tɕiŋ,!tɕ/ts i ŋ,[x],Dhakal2024,,,,,urine,!tɕ/ts i.ŋ,3457,1054,0,!tɕ/ts i.ŋ,Dhakal2024
Gyalsumdo-61-Faeces-1,,Gyalsumdo,61-Faeces,kjaɡpa,kjaɡpa,k j a g/k + p a,[x],Dhakal2024,23,,,,shit _:pa-suffix/pa,k.j a.g/k + p a,852 10,261,1,k.j a.g/k + p a,Dhakal2024
Gyalsumdo-219-Village-1,,Gyalsumdo,219-Village,jul,jul,j u l,[x],Dhakal2024,,,,,village,j u.l,3466,1055,0,j u.l,Dhakal2024
Gyalsumdo-99-House-1,,Gyalsumdo,99-House,kʰaŋpa,kʰaŋpa,kʰ a ŋ + p a,[ ] check ba status,Dhakal2024,402,,,,house _:pa-suffix/pa,kʰ a.ŋ + p a,1383 10,402,1,kʰ a.ŋ + p a,Dhakal2024
Gyalsumdo-166-Roof-1,,Gyalsumdo,166-Roof,kʰaŋt̪ø,kʰaŋt̪ø,kʰ a ŋ + t̪ ø,[x],Dhakal2024,,,,,_house roof/tok,kʰ a.ŋ + t̪ ø,1383 2288,679,0,kʰ a.ŋ + t̪ ø,Dhakal2024
Gyalsumdo-166-Roof-2,,Gyalsumdo,166-Roof,t̪ʰo,t̪ʰo,t̪ʰ o,[x],Dhakal2024,,,,,roof/tok,t̪ʰ o,2288,679,0,t̪ʰ o -,Dhakal2024
Gyalsumdo-46-Door-1,,Gyalsumdo,46-Door,ko,ko,k o,[x],Dhakal2024,,,,,door,k o,662,213,0,k o,Dhakal2024
Gyalsumdo-69-Firewood-1,,Gyalsumdo,69-Firewood,ɕiŋ,ɕiŋ,ɕ i ŋ,[x],Dhakal2024,1254,,,,tree/siŋ,ɕ i.ŋ,991,300,1,ɕ i.ŋ,Dhakal2024
Gyalsumdo-27-Broom-1,,Gyalsumdo,27-Broom,tɕʰama,tɕʰama,tɕʰ a + m a,[x],Dhakal2024,,,,,broom/tshag _:ma-suffix/ma,tɕʰ a + m a,391 1442,21,0,tɕʰ - a + m a -,Dhakal2024
Gyalsumdo-130-Mortar-1,,Gyalsumdo,130-Mortar,t̪ʰasa,t̪ʰasa,t̪ʰ a + s a,[ ],Dhakal2024,,,,,MORTAR _mortar,t̪ʰ a + s a,1763 1764,514,0,t̪ʰ a + s a,Dhakal2024
Gyalsumdo-130-Mortar-2,,Gyalsumdo,130-Mortar,koɡtsʰum,koɡtsʰum,k o g/k + tsʰ u m,[ ],Dhakal2024,,,,,MORTAR _mortar,k o.g/k + tsʰ u.m,1768 1766,513,0,k o.g/k + tsʰ u.m,Dhakal2024
Gyalsumdo-154-Pestle-1,,Gyalsumdo,154-Pestle,koɡt̪o,koɡt̪o,k o g/k + t̪ o,[?],Dhakal2024,,,,,pestle/kog pestle/to,k o.g/k + t̪ o,2106 46,23,0,k o.g/k + t̪ o,Dhakal2024
Gyalsumdo-88-Hammer-1,,Gyalsumdo,88-Hammer,t̪ʰowa,t̪ʰowa,t̪ʰ o + w a,[x],Dhakal2024,,,,,hammer _:wa-suffix,t̪ʰ o + w a,1228 1229,357,0,t̪ʰ o + - w a,Dhakal2024
Gyalsumdo-107-Knife-1,,Gyalsumdo,107-Knife,kaɾt̪a,kaɾt̪a,k a ɾ + t̪ a,[x],Dhakal2024,422,,,,knife/kar _:suffix/ta,k a.ɾ + t̪ a,1458 49,422,1,k a.ɾ + t̪ a,Dhakal2024
Gyalsumdo-7-Axe-1,,Gyalsumdo,7-Axe,t̪aɹi,t̪aɹi,t̪ a + ɹ i,[x],Dhakal2024,,,,,axe _/ri,t̪ a + ɹ i,88 89,30,0,t̪ a + ɹ i,Dhakal2024
Gyalsumdo-168-Rope-1,,Gyalsumdo,168-Rope,t̪ʰaɡpa,t̪ʰaɡpa,t̪ʰ a !g/k + p a,[x],Dhakal2024,1374,,,,rope _:ba-suffix/pa,t̪ʰ a.!g/k + p a,2316 10,693,1,t̪ʰ a.!g/k + p a,Dhakal2024
Gyalsumdo-204-Thread-1,,Gyalsumdo,204-Thread,kupa,kupa,k u + p a,[x],Dhakal2024,,,,,thread _:ba-suffix/pa,k u + p a,2783 10,823,0,k u - + p a,Dhakal2024
Gyalsumdo-137-Needle-1,,Gyalsumdo,137-Needle,kʰap,kʰap,kʰ a p,[x],Dhakal2024,1348,,,,needle,kʰ a.p,1874,548,1,kʰ a.p,Dhakal2024
Gyalsumdo-35-Cloth-1,,Gyalsumdo,35-Cloth,køla,køla,k ø + l a,[x],Dhakal2024,,,,,cloth _:suffix/lak,k ø + l a,519 520,172,0,k ø - + l a -,Dhakal2024
Gyalsumdo-164-Ring-1,,Gyalsumdo,164-Ring,soɹt̪ob,soɹt̪ob,s o ɹ + t̪ o b,[x],Dhakal2024,,,,,ring/se ring/top,s o.ɹ + t̪ o.b,2253 2254,670,0,s o.ɹ + t̪ o.b,Dhakal2024
Gyalsumdo-191-Sun-1,,Gyalsumdo,191-Sun,ɲima,ɲima,ɲ i + m a,[x],Dhakal2024,1418,,,,sun _:ma-suffix/ma,ɲ i + m a,2613 11,773,1,ɲ i - + m a,Dhakal2024
Gyalsumdo-128-Moon-1,,Gyalsumdo,128-Moon,t̪akaɹ,t̪akaɹ,t̪ a + k a ɹ,s.l a,Dhakal2024,1327,,,,moon/da star/white,t̪ a + k a.ɹ,15 2565,501,1,t̪ a + k a.ɹ,Dhakal2024
Gyalsumdo-128-Moon-2,,Gyalsumdo,128-Moon,t̪awa,t̪awa,t̪ a + w a,s.l a,Dhakal2024,1327,,,,moon/da _:wa-suffix/wa,t̪ a + w a,15 1716,35,1,t̪ a + w a,Dhakal2024
Gyalsumdo-179-Sky-1,,Gyalsumdo,179-Sky,nam,nam,n a m,[x],Dhakal2024,38,,,,sky-rain,n a.m,2462,730,1,n a.m,Dhakal2024
Gyalsumdo-188-Star-1,,Gyalsumdo,188-Star,kaɹma,kaɹma,k a ɹ + m a,s.k a.r,Dhakal2024,1410,,,,star/white _:ma-suffix/ma,k a.ɹ + m a,2565 11,759,1,k a.ɹ + m a,Dhakal2024
Gyalsumdo-160-Rain-1,,Gyalsumdo,160-Rain,nam,nam,n a m,[x],Dhakal2024,38,,,,sky-rain,n a.m,2462,642,1,n a.m,Dhakal2024
Gyalsumdo-221-Water-1,,Gyalsumdo,221-Water,tɕʰu,tɕʰu,tɕʰ u,[x],Dhakal2024,1458,,,,water,tɕʰ u,3477,1058,1,tɕʰ - u,Dhakal2024
Gyalsumdo-165-River-1,,Gyalsumdo,165-River,tsaŋpu,tsaŋpu,ts a ŋ + p u,[x],Dhakal2024,1368,,,,river/tsaŋ _:bu-suffix/pu,ts a.ŋ + p u,2270 1581,674,1,ts a.ŋ + p u,Dhakal2024
Gyalsumdo-36-Cloud-1,,Gyalsumdo,36-Cloud,muɡpa,muɡpa,m u g/k + p a,[x],Dhakal2024,176,,,,cloud/muk _pa-suffix/pa,m u.g/k + p a,536 10,176,1,m u.g/k + p a,Dhakal2024
Gyalsumdo-114-Lightening-1,,Gyalsumdo,114-Lightening,loɡmaɹ,loɡmaɹ,l o g/k + m a ɹ,[x],Dhakal2024,,,,,lightning/lok _lightning/mar,l o.g/k + m a.ɹ,1563 1564,457,0,l o.g/k + m a.ɹ,Dhakal2024
Gyalsumdo-159-Rainbow-1,,Gyalsumdo,159-Rainbow,sa,sa,s a,[x],Dhakal2024,534,,,,rainbow/dza,s a,156,647,1,s a,Dhakal2024
Gyalsumdo-235-Wind-1,,Gyalsumdo,235-Wind,hlawa,hlawa,h l a + w a,[x],Dhakal2024,1486,,,,wind/hla _:wa-suffix/wa,h.l a + w a,3690 56,1127,1,h.l a + w a,Dhakal2024
Gyalsumdo-190-Stone-1,,Gyalsumdo,190-Stone,t̪o,t̪o,t̪ o,[x],Dhakal2024,1416,,,,stone,t̪ o,47,771,1,t̪ o -,Dhakal2024
Gyalsumdo-152-Path-1,,Gyalsumdo,152-Path,lam,lam,l a m,[x],Dhakal2024,,,,,path,l a.m,2096,613,0,l a.m,Dhakal2024
Gyalsumdo-172-Sand-1,,Gyalsumdo,172-Sand,pema,pema,p e + m a,[x],Dhakal2024,1382,,,,sand/phe _:ma-suffix,p e + m a,2384 1442,712,1,p e + m a -,Dhakal2024
Gyalsumdo-68-Fire-1,,Gyalsumdo,68-Fire,me,me,m e,[x],Dhakal2024,1251,,,,fire,m e,982,299,1,m e,Dhakal2024
Gyalsumdo-182-Smoke-1,,Gyalsumdo,182-Smoke,t̪uba,t̪uba,t̪ u + b a,[x],Dhakal2024,57,,,,smoke/tu _:pa-suffix/pa,t̪ u + b a,2488 10,738,1,t̪ u + b a,Dhakal2024
Gyalsumdo-5-Ash-1,,Gyalsumdo,5-Ash,kɔkt̪al,kɔkt̪al,k ɔ k + !t̪/t̪ʰ a + l !Ø/a,[x] check with cross-semantic connections between Ash and Dust,Dhakal2024,,,,,_ash/kok ash/tha _ash/la,k ɔ.k + !t̪/t̪ʰ a + l !Ø/a,69 70 71,26,0,k ɔ.k + !t̪/t̪ʰ a + l !Ø/a,Dhakal2024
Gyalsumdo-134-Mud-1,,Gyalsumdo,134-Mud,sa,sa,s a,[x],Dhakal2024,534,,,,mud/sa,s a,1831,534,1,s a,Dhakal2024
Gyalsumdo-51-Dust-1,,Gyalsumdo,51-Dust,t̪ʰala,t̪ʰala,t̪ʰ a + l a,[x] check with cross-semantic connections between Ash and Dust,Dhakal2024,1237,,,,ash/tha _ash/la,t̪ʰ a + l a,70 71,26,1,t̪ʰ a + l a,Dhakal2024
Gyalsumdo-83-Gold-1,,Gyalsumdo,83-Gold,seɹ,seɹ,s e ɹ,[x],Dhakal2024,,,,,gold,s e.ɹ,1140,329,0,s e.ɹ,Dhakal2024
Gyalsumdo-212-Tree-1,,Gyalsumdo,212-Tree,t̪oŋbu,t̪oŋbu,t̪ o ŋ + b u,[x],Dhakal2024,1039,,,,tree/toŋ _:suffix/po,t̪ o.ŋ + b u,163 107,1039,1,t̪ o.ŋ + b u,Dhakal2024
Gyalsumdo-108-Leaf-1,,Gyalsumdo,108-Leaf,lapt̪i,lapt̪i,l a p + t̪ i,[x],Dhakal2024,430,,,,leaf/lap _:ti-suffix/ti,l a.p + t̪ i,62 1476,430,1,l a.p + t̪ i,Dhakal2024
Gyalsumdo-108-Leaf-2,,Gyalsumdo,108-Leaf,loma,loma,l o + m a,[x],Dhakal2024,1315,,,,leaf/lo _:ma-suffix/ma,l o + m a,1479 1442,428,1,l o + m a -,Dhakal2024
Gyalsumdo-167-Root-1,,Gyalsumdo,167-Root,pat̪a,pat̪a,p a + t̪ a,[x],Dhakal2024,686,,,,root/pa _root/tak,p a + t̪ a,65 30,686,1,p a + t̪ - a -,Dhakal2024
Gyalsumdo-202-Thorn-1,,Gyalsumdo,202-Thorn,tsʰeɾma,tsʰeɾma,tsʰ e ɾ + m a,[x],Dhakal2024,,,,,thorn/tsher _:ma-suffix/ma,tsʰ e.ɾ + m a,2745 1442,808,0,tsʰ e.ɾ + m a,Dhakal2024
Gyalsumdo-73-Flower-1,,Gyalsumdo,73-Flower,mend̪o,mend̪o,m e + ⁿd̪/d̪ o,[x],Dhakal2024,1257,,,,flower fruit,m e + ⁿd̪/d̪ o,1034 1061,305,1,m e + ⁿd̪/d̪ o,Dhakal2024
Gyalsumdo-76-Fruit-1,,Gyalsumdo,76-Fruit,ɕiŋd̪o,ɕiŋd̪o,ɕ i ŋ + d̪ o,[x],Dhakal2024,1263,,,,tree/siŋ fruit,ɕ i.ŋ + d̪ o,991 1061,308,1,ɕ i.ŋ + d̪ o,Dhakal2024
Gyalsumdo-121-Mango-1,,Gyalsumdo,121-Mango,ãp,ãp,ã p,[x],Dhakal2024,,,,,mango,ã.p,1633,473,0,ã.p,Dhakal2024
Gyalsumdo-9-Banana-1,,Gyalsumdo,9-Banana,keɹa,keɹa,k e + ɹ a,[x],Dhakal2024,,,,,banana/ke banana/ra,k e + ɹ a,130 131,45,0,k e + ɹ a,Dhakal2024
Gyalsumdo-227-Wheathusked-1,,Gyalsumdo,227-Wheathusked,to,to,t̪ o,[x],Dhakal2024,1091,,,,wheat/to,t̪ o,3568,1091,1,t̪ o -,Dhakal2024
Gyalsumdo-10-Barley-1,,Gyalsumdo,10-Barley,tsəu,tsəu,ts əu,[x],Dhakal2024,1190,,,,barley,ts əu,149,52,1,ts əu,Dhakal2024
Gyalsumdo-162-Ricehusked-1,,Gyalsumdo,162-Ricehusked,tɛ,tɛ,!t̪/t̪ʰ ɛ,[x],Dhakal2024,,,,,rice,!t̪/t̪ʰ ɛ,2222,655,0,!t̪/t̪ʰ ɛ,Dhakal2024
Gyalsumdo-162-Ricehusked-2,,Gyalsumdo,162-Ricehusked,tʰɛ,tʰɛ,t̪ʰ ɛ,[x],Dhakal2024,,,,,rice,t̪ʰ ɛ,2222,655,0,t̪ʰ ɛ,Dhakal2024
Gyalsumdo-158-Potato-1,,Gyalsumdo,158-Potato,alo,alo,a + l o,,Dhakal2024,,,,,_/a lok,a + l o,2163 2164,636,0,a + l o -,Dhakal2024
Gyalsumdo-6-Eggplant-1,,Gyalsumdo,6-Eggplant,penda,penda,p e n + d̪ a,[x],Dhakal2024,,,,,eggplant/pen eggplant/da,p e.n + d̪ a,746 747,229,0,p e.n + d̪ a,Dhakal2024
Gyalsumdo-153-Groundnut-1,,Gyalsumdo,153-Groundnut,pəd̪am,pəd̪am,p ə + d̪ a m,[x],Dhakal2024,,,,,groundnut/be groundnut/dam,p ə + d̪ a.m,1180 1181,343,0,p ə + d̪ a.m,Dhakal2024
Gyalsumdo-143-Chilli-1,,Gyalsumdo,143-Chilli,maɾtsʰa,maɾtsʰa,m a ɾ + tsʰ a,← Hindi «mirch»,Dhakal2024,,,,,*chilli/mir *chilli/ch,m a.ɾ + tsʰ a,501 502,165,0,m a.ɾ + tsʰ a,Dhakal2024
Gyalsumdo-213-Turmeric-1,,Gyalsumdo,213-Turmeric,peɕaɹ,peɕaɹ,p e + !ɕ/s a ɹ,[x],Dhakal2024,,,,,turmeric/pe turmeric/ser,p e + !ɕ/s a.ɹ,3395 3396,1041,0,p e + !ɕ/s a.ɹ,Dhakal2024
Gyalsumdo-77-Garlic-1,,Gyalsumdo,77-Garlic,kɔkpa,kɔkpa,k ɔ k + p a,[x],Dhakal2024,,,,,garlic _:ba-suffix/pa,k ɔ.k + p a,1077 10,313,0,k ɔ.k + p a,Dhakal2024
Gyalsumdo-149-Onion-1,,Gyalsumdo,149-Onion,pjaz,pjaz,p j a z,[x],Dhakal2024,,,,,onion/pjats,p.j a.z,2054,597,0,p.j a.z,Dhakal2024
Gyalsumdo-31-Cauliflower-1,,Gyalsumdo,31-Cauliflower,kəuli,kəuli,k əu + l i,[← Hindi(?)],Dhakal2024,,,,,*cauli-1 *cauli-2,k əu + l i,446 447,146,0,k əu + l i,Dhakal2024
Gyalsumdo-208-Tomato-1,,Gyalsumdo,208-Tomato,kolbenda,kolbenda,k o l + b e n + d̪ a,[← ?],Dhakal2024,,,,,*tomato/gol *tomato/be *tomato/da,k o.l + b e.n + d̪ a,3322 3323 3324,1021,0,k o.l + b e.n + d̪ a,Dhakal2024
Gyalsumdo-30-Cabbage-1,,Gyalsumdo,30-Cabbage,pənd̪a,pənd̪a,p ə n + d̪ a,[x],Dhakal2024,,,,,cabbage/be cabbage/nda,p ə.n + d̪ a,425 426,142,0,p ə.n + d̪ a,Dhakal2024
Gyalsumdo-144-Oil-1,,Gyalsumdo,144-Oil,maɹku,maɹku,m a ɹ + k u,[x],Dhakal2024,,,,,oil/mar _ku,m a.ɹ + k u,1961 1962,573,0,m a.ɹ + k u,Dhakal2024
Gyalsumdo-170-Salt-1,,Gyalsumdo,170-Salt,tsʰa,tsʰa,tsʰ a,[x],Dhakal2024,1380,,,,salt,tsʰ a,2349,701,1,tsʰ a,Dhakal2024
Gyalsumdo-124-Meat-1,,Gyalsumdo,124-Meat,ɕja,ɕja,ɕ j a,[x],Dhakal2024,1325,,,,meat,ɕ.j a,1668,484,1,ɕ.j a,Dhakal2024
Gyalsumdo-64-Fatofmeat-1,,Gyalsumdo,64-Fatofmeat,tsʰulu,tsʰulu,tsʰ u + l u,[←Chinese],Dhakal2024,,,,,*fat fat/luk,tsʰ u + l u,896 897,272,0,tsʰ u + l u -,Dhakal2024
Gyalsumdo-70-Fish-1,,Gyalsumdo,70-Fish,ɲa,ɲa,ɲ a,[x],Dhakal2024,1255,,,,fish,ɲ a,1000,301,1,ɲ a,Dhakal2024
Gyalsumdo-33-Chicken-1,,Gyalsumdo,33-Chicken,tɕʰiptʰuk,tɕʰiptʰuk,tɕʰ i p + t̪ʰ u k,[x],Dhakal2024,,,,,chicken chicken-4,tɕʰ i.p + t̪ʰ u.k,465 466,37,0,tɕʰ i.p + t̪ʰ u.k,Dhakal2024
Gyalsumdo-54-Egg-1,,Gyalsumdo,54-Egg,koŋa,koŋa,k o + ŋ a,[x],Dhakal2024,1242,,,,egg-1 egg-2,k o + ŋ a,724 725,222,1,k o + ŋ a,Dhakal2024
Gyalsumdo-40-Cow-1,,Gyalsumdo,40-Cow,poɡo,poɡo,p o + g o,[x],Dhakal2024,,,,,cow cow-3-/go,p o + g o,583 584,41,0,p o + g o,Dhakal2024
Gyalsumdo-28-Buffalo-1,,Gyalsumdo,28-Buffalo,maji,maji,m a + j i,[x],Dhakal2024,,,,,buffalo buffalo-2/ji,m a + j i,408 411,138,0,m a + j i,Dhakal2024
Gyalsumdo-125-Milk-1,,Gyalsumdo,125-Milk,oma,oma,o + m a,,Dhakal2024,,,,,breast-1 mother,o + m a,352 1807,485,0,- o + m a,Dhakal2024
Gyalsumdo-96-Horns-1,,Gyalsumdo,96-Horns,ɹakjo,ɹakjo,ɹ a + k j o,[x],Dhakal2024,1292,,,,horn-ra horn-kjo,ɹ a + k.j o,1335 1336,386,1,ɹ a + k.j o,Dhakal2024
Gyalsumdo-194-Tail-1,,Gyalsumdo,194-Tail,ŋama,ŋama,ŋ a + m a,[x],Dhakal2024,1419,,,,tail/ŋa _:ma-suffix/ma,ŋ a + m a,2648 11,779,1,ŋ a + m a -,Dhakal2024
Gyalsumdo-82-Goat-1,,Gyalsumdo,82-Goat,ɹa,ɹa,ɹ a,[x],Dhakal2024,1269,,,,goat,ɹ a,1130,327,1,ɹ a,Dhakal2024
Gyalsumdo-45-Dog-1,,Gyalsumdo,45-Dog,kjupu,kjupu,!k/kʰ j u + p u,[x],Dhakal2024,1231,,,,dog _:bu-suffix/pu,!k/kʰ.j u + p u,651 1581,211,1,!k/kʰ.j u + p u,Dhakal2024
Gyalsumdo-45-Dog-2,,Gyalsumdo,45-Dog,ki,ki,!k/kʰ i,[x],Dhakal2024,1231,,,,dog,!k/kʰ i,651,211,1,!k/kʰ - i,Dhakal2024
Gyalsumdo-183-Snake-1,,Gyalsumdo,183-Snake,tul,tul,t̪ u l,[x],Dhakal2024,1401,,,,snake,t̪ u.l,2505,742,1,t̪ u.l,Dhakal2024
Gyalsumdo-126-Monkey-1,,Gyalsumdo,126-Monkey,tɛmaɹ,tɛmaɹ,t̪ ɛ + m a ɹ,[x],Dhakal2024,,,,,monkey/te _monkey/mar,t̪ ɛ + m a.ɹ,1694 1695,491,0,t̪ ɛ + m a.ɹ,Dhakal2024
Gyalsumdo-126-Monkey-2,,Gyalsumdo,126-Monkey,te,te,t̪ e,[x],Dhakal2024,,,,,monkey/te,t̪ e,1694,491,0,t̪ e,Dhakal2024
Gyalsumdo-131-Mosquito-1,,Gyalsumdo,131-Mosquito,lamkute,lamkute,l a m + k u + t̪ e,[x],Dhakal2024,523,,,,mosquito/lam _/ku _/te,l a.m + k u + t̪ e,1784 1785 1786,523,1,l a.m + k u + t̪ e,Dhakal2024
Gyalsumdo-3-Ant-1,,Gyalsumdo,3-Ant,tomaɹ,tomaɹ,t̪ o + m a ɹ,[x],Dhakal2024,1183,,,,ant _ant/mar,t̪ o + m a.ɹ,32 33,16,1,t̪ o + m a.ɹ,Dhakal2024
Gyalsumdo-187-Spider-1,,Gyalsumdo,187-Spider,palba,palba,p a l + b a,[x],Dhakal2024,748,,,,spider/bel _/ba,p a.l + b a,2548 2554,748,1,p a.l + b a,Dhakal2024
Gyalsumdo-135-Name-1,,Gyalsumdo,135-Name,miŋ,miŋ,m i ŋ,[borrowed from Chinese],Dhakal2024,1344,,,,*name,m i.ŋ,1847,540,1,m i.ŋ,Dhakal2024
Gyalsumdo-120-Man-1,,Gyalsumdo,120-Man,mi,mi,m i,[x],Dhakal2024,,,,,person,m i,1624,472,0,m i,Dhakal2024
Gyalsumdo-236-Woman-1,,Gyalsumdo,236-Woman,pomo,pomo,p o + m o,[?],Dhakal2024,1227,,,,child-son female,p o + m o,2515 601,1135,1,p o - + m o,Dhakal2024
Gyalsumdo-34-Child-1,,Gyalsumdo,34-Child,tuɡu,tuɡu,t̪ u + g u,[x],Dhakal2024,,,,,child-4 _/gu,t̪ u + g u,485 486,161,0,t̪ u + g u,Dhakal2024
