ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	COGID	ALIGNMENT
160	Gyalsumdo	Above	ɲala	ɲala	ɲ a + l a	1 2	_above ABOVE	1	ɲ a + l a
420	Jirel	Above	jine	jine	j i + n e	3 1	_above ABOVE	3	j i + n e
679	Kagate	Above	t̪ʰola	t̪ʰola	t̪ʰ o + l a	4 2	_above ABOVE	1	t̪ʰ o - + l a
935	Lowa	Above	t̪ʰøʔ	t̪ʰøʔ	t̪ʰ ø ʔ	4	ABOVE	2	t̪ʰ ø ʔ
1186	Nubri	Above	kaŋ	kaŋ	k a ŋ	5	ABOVE	6	k a ŋ
1440	Sherpa	Above	jajo	jajo	j a + j o	6 3	_above ABOVE	4	j a + j o
1683	Tsum	Above	jau	jau	j au	6	ABOVE	5	j au
1947	Yolmo	Above	t̪ʰola	t̪ʰola	t̪ʰ o + l a	4 2	_above ABOVE	1	t̪ʰ o - + l a
198	Gyalsumdo	All	t̪aɡɹaŋ	t̪aɡɹaŋ	t̪ a + g ɹ a ŋ	15 16	ALL _all	7	t̪ a - + g ɹ a ŋ
456	Jirel	All	ŋɡaŋe	ŋɡaŋe	ŋ g a + ŋ e	17 18	ALL _all	11	ŋ g a + ŋ e
715	Kagate	All	t̪ʰamdzer	t̪ʰamdzer	t̪ʰ a m + dz e r	15 19	ALL _all	7	t̪ʰ a m + dz e r
975	Lowa	All	kiɾi	kiɾi	k i + ɾ i	20 21	ALL _all	9	k i + ɾ i
1223	Nubri	All	tɕjapt̪a	tɕjapt̪a	tɕ j a p + t̪ a	22 15	_all ALL	7	tɕ j a p + t̪ a -
1475	Sherpa	All	jukəj	jukəj	j u + k əi	23 20	_all ALL	9	j u + k əi
1718	Tsum	All	tɕjop	tɕjop	tɕ j o p	22	ALL	10	tɕ j o p
1984	Yolmo	All	ndzamaɹaŋ	ndzamaɹaŋ	ⁿdz a + m a + ɹ a ŋ	24 25 16	_all _all ALL	8	ⁿdz a + m a + - ɹ a ŋ
110	Gyalsumdo	Ant	tomaɹ	tomaɹ	t o + m a ɹ	32 33	ANT _ant	18	t - o - + m a ɹ
372	Jirel	Ant	tʰoŋmatsi	tʰoŋmatsi	tʰ o ŋ + m a + ts i	32 33 34	ANT _ant _ant	18	tʰ - o ŋ + m a - + ts i
629	Kagate	Ant	tomak	tomak	t o + m a k	32 33	ANT _ant	18	t - o - + m a k
886	Lowa	Ant	mbudaɲa	mbudaɲa	ⁿb u + d a + ɲ a	35 32 36	_ant ANT _ant	18	ⁿb u + d - a - + ɲ a
1139	Nubri	Ant	hɹomo	hɹomo	h ɹ o + m o	37 38	_ant ANT	20	h ɹ o + m o
1393	Sherpa	Ant	tʰəksəŋma	tʰəksəŋma	tʰ ə k + s ə ŋ + m a	39 40 33	_ant _ant ANT	19	tʰ ə k + s ə ŋ + m a -
1636	Tsum	Ant	tɹomu	tɹomu	t ɹ o + m u	32 38	ANT _ant	18	t ɹ o - + m u
1900	Yolmo	Ant	tomaŋ	tomaŋ	t o + m a ŋ	32 33	ANT _ant	18	t - o - + m a ŋ
15	Gyalsumdo	Arm/Hand	laɡpa	laɡpa	l a g + p a	52 53	ARM/HAND _arm/hand	27	l a g + p a
281	Jirel	Arm/Hand	lakpa	lakpa	l a k + p a	52 53	ARM/HAND _arm/hand	27	l a k + p a
542	Kagate	Arm/Hand	laɡpa	laɡpa	l a g + p a	52 53	ARM/HAND _arm/hand	27	l a g + p a
794	Lowa	Arm/Hand	laɡpa	laɡpa	l a g + p a	52 53	ARM/HAND _arm/hand	27	l a g + p a
1053	Nubri	Arm/Hand	lakpa	lakpa	l a k + p a	52 53	ARM/HAND _arm/hand	27	l a k + p a
1304	Sherpa	Arm/Hand	laɡpa	laɡpa	l a g + p a	52 53	ARM/HAND _arm/hand	27	l a g + p a
1549	Tsum	Arm/Hand	lakpa	lakpa	l a k + p a	52 53	ARM/HAND _arm/hand	27	l a k + p a
1813	Yolmo	Arm/Hand	laɡpa	laɡpa	l a g + p a	52 53	ARM/HAND _arm/hand	27	l a g + p a
64	Gyalsumdo	Ash	kɔkt̪al	kɔkt̪al	k ɔ k + t̪ a l	69 70	_ash ASH	29	k ɔ k + t̪ a l
327	Jirel	Ash	t̪ʰala	t̪ʰala	t̪ʰ a + l a	70 71	ASH _ash	29	t̪ʰ a - + l a
