ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	COGID	ALIGNMENT
586	Kagate	Ash	t̪ʰala	t̪ʰala	t̪ʰ a + l a	70 71	ASH _ash	29	t̪ʰ a - + l a
841	Lowa	Ash	koɡt̪ʰa	koɡt̪ʰa	k o g + t̪ʰ a	69 70	_ash ASH	29	k o g + t̪ʰ a -
1097	Nubri	Ash	kot̪ʰal	kot̪ʰal	k o + t̪ʰ a l	69 70	_ash ASH	29	k o - + t̪ʰ a l
1350	Sherpa	Ash	kʰəsit̪ʰala	kʰəsit̪ʰala	kʰ ə + s i + t̪ʰ a + l a	69 72 70 71	_ash _ash ASH _ash	29	kʰ ə - + s i + t̪ʰ a - + l a
1594	Tsum	Ash	kozal	kozal	k o + z a l	69 70	_ash ASH	29	k o - + z a l
1858	Yolmo	Ash	t̪ʰala	t̪ʰala	t̪ʰ a + l a	70 71	ASH _ash	29	t̪ʰ a - + l a
41	Gyalsumdo	Axe	t̪aɹi	t̪aɹi	t̪ a + ɹ i	88 89	AXE _axe	33	t̪ a + ɹ i
304	Jirel	Axe	t̪əɹi	t̪əɹi	t̪ ə + ɹ i	88 89	AXE _axe	33	t̪ ə + ɹ i
564	Kagate	Axe	t̪əri	t̪əri	t̪ ə + r i	88 89	AXE _axe	33	t̪ ə + r i
818	Lowa	Axe	t̪iɾi	t̪iɾi	t̪ i + ɾ i	88 89	AXE _axe	33	t̪ i + ɾ i
1075	Nubri	Axe	t̪aɹi	t̪aɹi	t̪ a + ɹ i	88 89	AXE _axe	33	t̪ a + ɹ i
1327	Sherpa	Axe	t̪əɹi	t̪əɹi	t̪ ə + ɹ i	88 89	AXE _axe	33	t̪ ə + ɹ i
1572	Tsum	Axe	t̪aɾi	t̪aɾi	t̪ a + ɾ i	88 89	AXE _axe	33	t̪ a + ɾ i
1835	Yolmo	Axe	t̪aɾi	t̪aɾi	t̪ a + ɾ i	88 89	AXE _axe	33	t̪ a + ɾ i
145	Gyalsumdo	Bad	majabu	majabu	m a + j a + b u	105 106 107	_bad _bad BAD	35	m a + j a + b u
404	Jirel	Bad	meleba	meleba	m e + l e + b a	105 108 107	_bad _bad BAD	35	m e + l e + b a
663	Kagate	Bad	majiba	majiba	m a + j i + b a	105 109 107	_bad _bad BAD	35	m a + j i + b a
664	Kagate	Bad	marikpa	marikpa	m a + r i k + p a	105 115 107	_bad _bad BAD	35	m a + r i k + p a
919	Lowa	Bad	a	a	a	110	BAD	41	a
920	Lowa	Bad	ŋempa	ŋempa	ŋ e m + p a	113 107	_bad BAD	35	ŋ e m + p a
1171	Nubri	Bad	ɦawɛ	ɦawɛ	ɦ a + w ɛ	106 111	BAD _bad	37	ɦ a + w ɛ
1425	Sherpa	Bad	melokpa	melokpa	m e + l o k + p a	105 112 107	_bad _bad BAD	35	m e + l o k + p a
1668	Tsum	Bad	nepo	nepo	n e + p o	113 107	_bad BAD	35	n e - + p o
1932	Yolmo	Bad	tsokpa	tsokpa	ts o k + p a	114 107	_bad BAD	35	ts o k + p a
76	Gyalsumdo	Banana	keɹa	keɹa	k e + ɹ a	130 131	BANANA _banana	46	k e + ɹ a
338	Jirel	Banana	ɹeŋaɕiŋ	ɹeŋaɕiŋ	ɹ e + ŋ a + ɕ i ŋ	131 132 133	BANANA _banana _banana	47	ɹ e + ŋ a + ɕ i ŋ
597	Kagate	Banana	alamu	alamu	a + l a + m u	134 135 136	_banana BANANA _banana	48	a + l a + m u
853	Lowa	Banana	keɾa	keɾa	k e + ɾ a	130 131	BANANA _banana	46	k e + ɾ a
1108	Nubri	Banana	kela	kela	k e + l a	130 135	BANANA _banana	46	k e + l a
1361	Sherpa	Banana	kera	kera	k e + r a	130 131	BANANA _banana	46	k e + r a
1605	Tsum	Banana	keɾa	keɾa	k e + ɾ a	130 131	BANANA _banana	46	k e + ɾ a
1869	Yolmo	Banana	keɾa	keɾa	k e + ɾ a	130 131	BANANA _banana	46	k e + ɾ a
78	Gyalsumdo	Barley	tsəu	tsəu	ts əu	149	BARLEY	53	ts əu
340	Jirel	Barley	ndzəu	ndzəu	ⁿdz əu	149	BARLEY	53	ⁿdz əu
599	Kagate	Barley	wa	wa	w a	150	BARLEY	55	w a
855	Lowa	Barley	ne	ne	n e	151	BARLEY	54	n e
1110	Nubri	Barley	n̪e:	n̪e:	n̪ eː	151	BARLEY	54	n̪ eː
1363	Sherpa	Barley	dzəu	dzəu	dz əu	149	BARLEY	53	dz əu
1607	Tsum	Barley	tsau	tsau	ts au	149	BARLEY	53	ts au
1871	Yolmo	Barley	dzəu	dzəu	dz əu	149	BARLEY	53	dz əu
247	Gyalsumdo	Beam (main wooden beam)	kuŋkju	kuŋkju	k u ŋ + k j u	158 159	BEAM _beam	58	k u ŋ + k j u
509	Jirel	Beam (main wooden beam)	d̪əlin	d̪əlin	d̪ ə + l i n	160 161	BEAM _beam	60	d̪ ə + l i n
759	Kagate	Beam (main wooden beam)	maid̪an	maid̪an	m a i + d̪ a n	162 163	_beam BEAM	56	m a i + d̪ a n
1019	Lowa	Beam (main wooden beam)	t̪uŋma	t̪uŋma	t̪ u ŋ + m a	163 162	BEAM _beam	56	t̪ u ŋ + m a -
1269	Nubri	Beam (main wooden beam)	kuŋɕiŋ	kuŋɕiŋ	k u ŋ + ɕ i ŋ	158 164	BEAM _beam	58	k u ŋ + ɕ i ŋ
1517	Sherpa	Beam (main wooden beam)	d̪uŋma	d̪uŋma	d̪ u ŋ + m a	163 162	BEAM _beam	56	d̪ u ŋ + m a -
1773	Tsum	Beam (main wooden beam)	t̪uŋ	t̪uŋ	t̪ u ŋ	163	BEAM	56	t̪ u ŋ
2030	Yolmo	Beam (main wooden beam)	t̪uŋma	t̪uŋma	t̪ u ŋ + m a	163 162	BEAM _beam	56	t̪ u ŋ + m a -
256	Gyalsumdo	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
518	Jirel	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
768	Kagate	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
1029	Lowa	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
1278	Nubri	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
1525	Sherpa	Bear	t̪ʰom	t̪ʰom	t̪ʰ o m	174	BEAR	63	t̪ʰ o m
1783	Tsum	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
2039	Yolmo	Bear	t̪om	t̪om	t̪ o m	174	BEAR	63	t̪ o m
14	Gyalsumdo	Belly	toba	toba	t o + b a	183 184	_belly BELLY	64	t o + b a
280	Jirel	Belly	suba	suba	s u + b a	185 184	_belly BELLY	64	s u + b a
541	Kagate	Belly	topa	topa	t o + p a	183 184	_belly BELLY	64	t o + p a
793	Lowa	Belly	pʰowa	pʰowa	pʰ o + w a	184 186	BELLY _belly	64	pʰ o + w a
1052	Nubri	Belly	topa	topa	t o + p a	183 184	_belly BELLY	64	t o + p a
1303	Sherpa	Belly	tʰopa	tʰopa	tʰ o + p a	183 184	_belly BELLY	64	tʰ o + p a
1548	Tsum	Belly	pʰowa	pʰowa	pʰ o + w a	184 187	BELLY _belly	64	pʰ o + w a
1812	Yolmo	Belly	pʰo	pʰo	pʰ o	184	BELLY	64	pʰ o
161	Gyalsumdo	Below	wala	wala	w a + l a	199 200	_below BELOW	69	w a + l a
421	Jirel	Below	mima	mima	m i + m a	201 202	_below BELOW	70	m i + m a
680	Kagate	Below	wala	wala	w a + l a	199 200	_below BELOW	69	w a + l a
936	Lowa	Below	meʔ	meʔ	m e ʔ	203	BELOW	73	m e ʔ
1187	Nubri	Below	ɦo	ɦo	ɦ o	204	BELOW	74	ɦ o
1441	Sherpa	Below	mamo	mamo	m a + m o	202 201	BELOW _below	70	m a + m o
1684	Tsum	Below	mau	mau	m au	202	BELOW	70	m au
1948	Yolmo	Below	t̪iŋla	t̪iŋla	t̪ i ŋ + l a	205 200	_below BELOW	69	t̪ i ŋ + l a
156	Gyalsumdo	Big	tɕʰjumbu	tɕʰjumbu	tɕʰ j u n/m + b u	213 214	BIG _big	76	tɕʰ j u n/m + b u
416	Jirel	Big	ndzod̪a	ndzod̪a	ⁿdz o + d̪ a	215 216	BIG _big	77	ⁿdz o - + d̪ a
675	Kagate	Big	tɕʰjombo	tɕʰjombo	tɕʰ j o n/m + b o	213 217	BIG _big	76	tɕʰ j o n/m + b o
931	Lowa	Big	tsʰe	tsʰe	tsʰ e	215	BIG	77	tsʰ e -
1182	Nubri	Big	tɕjɔ̃mpu	tɕjɔ̃mpu	tɕ j ɔ̃ m + p u	213 214	BIG _big	76	tɕ j ɔ̃ m + p u
1436	Sherpa	Big	tɕʰend̪i	tɕʰend̪i	tɕʰ e n/n + d i	215 216	BIG _big	77	tɕʰ e n/n + d i
1679	Tsum	Big	tɕʰemo	tɕʰemo	tɕʰ e + m o	215 218	BIG _big	77	tɕʰ e - + m o
1943	Yolmo	Big	tɕʰjimbu	tɕʰjimbu	tɕʰ j i n/m + b u	213 214	BIG _big	76	tɕʰ j i n/m + b u
163	Gyalsumdo	Black	nakpu	nakpu	n a k + p u	229 230	BLACK _black	82	n a k + p u
423	Jirel	Black	naɡpo	naɡpo	n a g + p o	229 230	BLACK _black	82	n a g + p o
682	Kagate	Black	nakpu	nakpu	n a k + p u	229 230	BLACK _black	82	n a k + p u
938	Lowa	Black	naɡpo	naɡpo	n a g + p o	229 230	BLACK _black	82	n a g + p o
1189	Nubri	Black	n̪akpo	n̪akpo	n̪ a k + p o	229 230	BLACK _black	82	n̪ a k + p o
1443	Sherpa	Black	nakpu	nakpu	n a k + p u	229 230	BLACK _black	82	n a k + p u
1686	Tsum	Black	nakpo	nakpo	n a k + p o	229 230	BLACK _black	82	n a k + p o
1950	Yolmo	Black	n̪akpu	n̪akpu	n̪ a k + p u	229 230	BLACK _black	82	n̪ a k + p u
26	Gyalsumdo	Blood	tʰak	tʰak	tʰ a k	246	BLOOD	84	tʰ - a k
290	Jirel	Blood	tʰak	tʰak	tʰ a k	246	BLOOD	84	tʰ - a k
551	Kagate	Blood	tʰa	tʰa	tʰ a	246	BLOOD	84	tʰ - a -
804	Lowa	Blood	tʰak	tʰak	tʰ a k	246	BLOOD	84	tʰ - a k
1062	Nubri	Blood	tʰa	tʰa	tʰ a	246	BLOOD	84	tʰ - a -
1313	Sherpa	Blood	tʰak	tʰak	tʰ a k	246	BLOOD	84	tʰ - a k
1558	Tsum	Blood	tʰɹaʔ	tʰɹaʔ	tʰ ɹ a ʔ	246	BLOOD	84	tʰ ɹ a ʔ
1822	Yolmo	Blood	tʰa	tʰa	tʰ a	246	BLOOD	84	tʰ - a -
1	Gyalsumdo	Body	suɡu	suɡu	s u + g u	255 256	BODY _body	85	s u - + g u
269	Jirel	Body	dziu	dziu	dz iu	257	BODY	86	dz iu
529	Kagate	Body	dzubu	dzubu	dz u + b u	257 258	BODY _body	86	dz u + b u
781	Lowa	Body	suʔ	suʔ	s u ʔ	255	BODY	85	s u ʔ
1041	Nubri	Body	su	su	s u	255	BODY	85	s u -
1292	Sherpa	Body	dzubu	dzubu	dz u + b u	257 258	BODY _body	86	dz u + b u
1537	Tsum	Body	zu	zu	z u	255	BODY	85	z u -
1800	Yolmo	Body	ndzuɡu	ndzuɡu	ⁿdz u + g u	257 256	BODY _body	86	ⁿdz u + g u
246	Gyalsumdo	Bond	kamkja	kamkja	k a m + k j a	268 269	_bond BOND	89	k a m + k j a
508	Jirel	Bond	t̪əmasuk	t̪əmasuk	t̪ ə + m a + s u k	270 271 272	_bond _bond BOND	91	t̪ ə + m a + s - u k
758	Kagate	Bond	siu	siu	s iu	273	BOND	94	s iu
1018	Lowa	Bond	kenka	kenka	k e n + k a	274 269	_bond BOND	89	k e n + k - a
1268	Nubri	Bond	kamkja	kamkja	k a m + k j a	268 269	_bond BOND	89	k a m + k j a
1516	Sherpa	Bond	ɕju	ɕju	ɕ j u	272	BOND	91	ɕ j u -
1772	Tsum	Bond	kamɡja	kamɡja	k a m + g j a	268 269	_bond BOND	89	k a m + g j a
2028	Yolmo	Bond	t̪əməsu	t̪əməsu	t̪ ə + m ə + s u	270 271 272	_bond _bond BOND	91	t̪ ə + m ə + s - u -
2029	Yolmo	Bond	kamɡja	kamɡja	k a m + g j a	268 269	_bond BOND	89	k a m + g j a
24	Gyalsumdo	Bone	ɹoɡo	ɹoɡo	ɹ o + g o	287 288	BONE _bone	96	- ɹ o + g - o -
288	Jirel	Bone	ɹuba	ɹuba	ɹ u + b a	287 289	BONE _bone	96	- ɹ u + b a
549	Kagate	Bone	rekok	rekok	r e + k o k	287 288	BONE _bone	96	- r e + k - o k
802	Lowa	Bone	ɹuko	ɹuko	ɹ u + k o	287 288	BONE _bone	96	- ɹ u + k - o -
1060	Nubri	Bone	hɹypa	hɹypa	h ɹ y + p a	287 289	BONE _bone	96	h ɹ y + p a
1311	Sherpa	Bone	ɹukjok	ɹukjok	ɹ u + k j o k	287 288	BONE _bone	96	- ɹ u + k j o k
1556	Tsum	Bone	ɹiɡoʔ	ɹiɡoʔ	ɹ i + g o ʔ	287 288	BONE _bone	96	- ɹ i + g - o ʔ
1820	Yolmo	Bone	ɹeko	ɹeko	ɹ e + k o	287 288	BONE _bone	96	- ɹ e + k - o -
127	Gyalsumdo	Boy	pitsa	pitsa	p i + ts a	304 305	BOY _boy	99	p i - + ts a
128	Gyalsumdo	Boy	pu	pu	p u	304	BOY	99	p u -
388	Jirel	Boy	kʰojobopidza	kʰojobopidza	kʰ o + j o + b o + p i + dz a	306 307 308 304 305	_boy _boy _boy BOY _boy	99	kʰ o + j o + b o + p i - + dz a
646	Kagate	Boy	pituk	pituk	p i + t u k	304 309	BOY _boy	99	p i - + t u k
902	Lowa	Boy	pidza	pidza	p i + dz a	304 305	BOY _boy	99	p i - + dz a
1155	Nubri	Boy	puh	puh	p u h	304	BOY	99	p u h
1409	Sherpa	Boy	kʰjokpʰedza	kʰjokpʰedza	kʰ j o k + pʰ e + dz a	310 304 305	_boy BOY _boy	99	kʰ j o k + pʰ e - + dz a
1652	Tsum	Boy	ɕjaɾa	ɕjaɾa	ɕ j a + ɾ a	311 312	BOY _boy	101	ɕ j a + ɾ a
1916	Yolmo	Boy	ɕjaɹa	ɕjaɹa	ɕ j a + ɹ a	311 312	BOY _boy	101	ɕ j a + ɹ a
249	Gyalsumdo	Bread	kja	kja	k j a	325	BREAD	109	k j a -
259	Gyalsumdo	Bread	kjaŋ	kjaŋ	k j a ŋ	325	BREAD	109	k j a ŋ
511	Jirel	Bread	d̪aɹi	d̪aɹi	d̪ a + ɹ i	326 327	_bread BREAD	111	d̪ a + ɹ i
521	Jirel	Bread	ɕjoben	ɕjoben	ɕ j o + b e n	332 333	BREAD _bread	115	ɕ j o + b e n
761	Kagate	Bread	maŋre	maŋre	m a ŋ + r e	328 329	_bread BREAD	110	m a ŋ + - r e
771	Kagate	Bread	kʰura	kʰura	kʰ u + r a	330 329	BREAD _bread	108	kʰ u - + - r a
1021	Lowa	Bread	makɾa	makɾa	m a + k ɾ a	328 329	_bread BREAD	110	m a - + k ɾ a
1032	Lowa	Bread	kjaŋ	kjaŋ	k j a ŋ	325	BREAD	109	k j a ŋ
1271	Nubri	Bread	kʰeu	kʰeu	kʰ eu	330	BREAD	108	kʰ eu -
1281	Nubri	Bread	kʰoɹa	kʰoɹa	kʰ o + ɹ a	330 329	BREAD _bread	108	kʰ o - + - ɹ a
1519	Sherpa	Bread	ɡerok	ɡerok	g e + r o k	330 331	BREAD _bread	108	g e - + r o k
1528	Sherpa	Bread	kuri	kuri	k u + r i	330 327	BREAD _bread	108	k u - + r i
1775	Tsum	Bread	kja	kja	k j a	325	BREAD	109	k j a -
1786	Tsum	Bread	pakut	pakut	p a + k u t	334 330	_bread BREAD	108	p a + k u t
2032	Yolmo	Bread	kja	kja	k j a	325	BREAD	109	k j a -
2042	Yolmo	Bread	kʰuɹa	kʰuɹa	kʰ u + ɹ a	330 329	BREAD _bread	108	kʰ u - + - ɹ a
12	Gyalsumdo	Breast	oma	oma	o + m a	352 353	_breast BREAST	118	o + m a
13	Gyalsumdo	Breast	ɦoma	ɦoma	ɦ o + m a	359 353	_breast BREAST	118	ɦ o + m a
279	Jirel	Breast	n̪uma	n̪uma	n̪ u + m a	354 353	_breast BREAST	118	n̪ u + m a
539	Kagate	Breast	oma	oma	o + m a	352 353	_breast BREAST	118	o + m a
540	Kagate	Breast	praŋɡok	praŋɡok	p r a ŋ + g o k	357 358	BREAST _breast	120	p r a ŋ + g o k
792	Lowa	Breast	oma	oma	o + m a	352 353	_breast BREAST	118	o + m a
1051	Nubri	Breast	tɕju	tɕju	tɕ j u	355	BREAST	123	tɕ j u
1302	Sherpa	Breast	oma	oma	o + m a	352 353	_breast BREAST	118	o + m a
1547	Tsum	Breast	paʔ	paʔ	p a ʔ	356	BREAST	124	p a ʔ
1810	Yolmo	Breast	praŋɡo	praŋɡo	p r a ŋ + g o	357 358	BREAST _breast	120	p r a ŋ + g o -
1811	Yolmo	Breast	woma	woma	w o + m a	360 353	_breast BREAST	118	w o + m a
195	Gyalsumdo	Broken	tɕʰjakpu	tɕʰjakpu	tɕʰ j a k + p u	373 374	BROKEN _broken	127	tɕʰ j a k + p u
453	Jirel	Broken	tɕʰakpat̪e	tɕʰakpat̪e	tɕʰ a k + p a + t̪ e	373 374 375	BROKEN _broken _broken	127	tɕʰ - a k + p a + t̪ e
712	Kagate	Broken	tɕʰjako	tɕʰjako	tɕʰ j a + k o	373 376	BROKEN _broken	127	tɕʰ j a - + k - o
972	Lowa	Broken	tɕʰaɡtɕa	tɕʰaɡtɕa	tɕʰ a + g tɕ a	373 377	BROKEN _broken	127	tɕʰ - a - + g tɕ a
1220	Nubri	Broken	tɕʰjakjo	tɕʰjakjo	tɕʰ j a + k j o	373 376	BROKEN _broken	127	tɕʰ j a - + k j o
1472	Sherpa	Broken	tɕʰjakpa	tɕʰjakpa	tɕʰ j a k + p a	373 374	BROKEN _broken	127	tɕʰ j a k + p a
1715	Tsum	Broken	tɕʰjako	tɕʰjako	tɕʰ j a + k o	373 376	BROKEN _broken	127	tɕʰ j a - + k - o
1980	Yolmo	Broken	tɕʰjakjo	tɕʰjakjo	tɕʰ j a + k j o	373 376	BROKEN _broken	127	tɕʰ j a - + k j o
35	Gyalsumdo	Broom	tɕʰama	tɕʰama	tɕʰ a + m a	391 392	_broom BROOM	132	tɕʰ - a + - m a
298	Jirel	Broom	komuk	komuk	k o + m u k	393 394	BROOM _broom	133	k o - + m u k
559	Kagate	Broom	pʰema	pʰema	pʰ e + m a	395 392	_broom BROOM	132	pʰ e + - m a
813	Lowa	Broom	tɕʰjaɡma	tɕʰjaɡma	tɕʰ j a + g m a	391 392	_broom BROOM	132	tɕʰ j a + g m a
1070	Nubri	Broom	koŋmo	koŋmo	k o ŋ + m o	393 392	_broom BROOM	132	k o ŋ + - m o
1322	Sherpa	Broom	komi	komi	k o + m i	393 392	_broom BROOM	132	k o - + - m i
1567	Tsum	Broom	koŋmo	koŋmo	k o ŋ + m o	393 392	_broom BROOM	132	k o ŋ + - m o
1829	Yolmo	Broom	pʰjama	pʰjama	pʰ j a + m a	396 392	_broom BROOM	132	pʰ j a + - m a
99	Gyalsumdo	Buffalo	maji	maji	m a + j i	408 409	BUFFALO _buffalo	138	m a + j i
361	Jirel	Buffalo	meɕja	meɕja	m e + ɕ j a	408 410	BUFFALO _buffalo	138	m e + ɕ j a
619	Kagate	Buffalo	mãjĩ	mãjĩ	m ã + j ĩ	408 409	BUFFALO _buffalo	138	m ã + j ĩ
876	Lowa	Buffalo	maji	maji	m a + j i	408 409	BUFFALO _buffalo	138	m a + j i
1130	Nubri	Buffalo	maɦi	maɦi	m a + ɦ i	408 411	BUFFALO _buffalo	138	m a + ɦ i
1383	Sherpa	Buffalo	mesi	mesi	m e + s i	408 411	BUFFALO _buffalo	138	m e + s i
1627	Tsum	Buffalo	maje	maje	m a + j e	408 409	BUFFALO _buffalo	138	m a + j e
1891	Yolmo	Buffalo	məji	məji	m ə + j i	408 409	BUFFALO _buffalo	138	m ə + j i
90	Gyalsumdo	Cabbage	pənd̪a	pənd̪a	p ə n/n + d a	425 426	CABBAGE _cabbage	142	p ə n/n + d a
351	Jirel	Cabbage	bənd̪a	bənd̪a	b ə n/n + d a	425 426	CABBAGE _cabbage	142	b ə n/n + d a
610	Kagate	Cabbage	bənd̪aɡobi	bənd̪aɡobi	b ə n/n + d a + g o + b i	425 426 427 428	CABBAGE _cabbage _cabbage _cabbage	142	b ə n/n + d a + - g o + b i
866	Lowa	Cabbage	ŋɡopi	ŋɡopi	ŋ g o + p i	427 428	CABBAGE _cabbage	144	ŋ g o + p i
1121	Nubri	Cabbage	pənd̪a	pənd̪a	p ə n/n + d a	425 426	CABBAGE _cabbage	142	p ə n/n + d a
1374	Sherpa	Cabbage	bənd̪a	bənd̪a	b ə n/n + d a	425 426	CABBAGE _cabbage	142	b ə n/n + d a
1618	Tsum	Cabbage	bənd̪a	bənd̪a	b ə n/n + d a	425 426	CABBAGE _cabbage	142	b ə n/n + d a
1882	Yolmo	Cabbage	bənd̪aɡobi	bənd̪aɡobi	b ə n/n + d a + g o + b i	425 426 427 428	CABBAGE _cabbage _cabbage _cabbage	142	b ə n/n + d a + - g o + b i
88	Gyalsumdo	Cauliflower	kəuli	kəuli	k əu + l i	446 447	CAULIFLOWER _cauliflower	146	k əu + l i
349	Jirel	Cauliflower	kauli	kauli	k au + l i	446 447	CAULIFLOWER _cauliflower	146	k au + l i
608	Kagate	Cauliflower	kauli	kauli	k au + l i	446 447	CAULIFLOWER _cauliflower	146	k au + l i
864	Lowa	Cauliflower	pʰulkopi	pʰulkopi	pʰ u l + k o + p i	448 446 449	_cauliflower CAULIFLOWER _cauliflower	146	pʰ u l + k o + p i
1119	Nubri	Cauliflower	kauli	kauli	k au + l i	446 447	CAULIFLOWER _cauliflower	146	k au + l i
1372	Sherpa	Cauliflower	kauli	kauli	k au + l i	446 447	CAULIFLOWER _cauliflower	146	k au + l i
1616	Tsum	Cauliflower	kauli	kauli	k au + l i	446 447	CAULIFLOWER _cauliflower	146	k au + l i
1880	Yolmo	Cauliflower	pʰulɡobi	pʰulɡobi	pʰ u l + g o + b i	450 446 449	_cauliflower CAULIFLOWER _cauliflower	146	pʰ u l + g o + b i
96	Gyalsumdo	Chicken	tɕʰiptʰuk	tɕʰiptʰuk	tɕʰ i p + tʰ u k	465 466	CHICKEN _chicken	151	tɕʰ i p + tʰ u k
357	Jirel	Chicken	tsʰiɹbuk	tsʰiɹbuk	tsʰ i ɹ + b u k	467 468	CHICKEN _chicken	156	tsʰ i ɹ + b u k
616	Kagate	Chicken	tsipru	tsipru	ts i p + r u	465 469	CHICKEN _chicken	151	ts i p + r u -
873	Lowa	Chicken	tɕjamodʑiptʰuk	tɕjamodʑiptʰuk	tɕ j a + m o + dʑ i p + tʰ u k	470 471 465 466	_chicken _chicken CHICKEN _chicken	151	tɕ j a + m o + dʑ i p + tʰ u k
1127	Nubri	Chicken	tɕjoũ	tɕjoũ	tɕ j oũ	470	CHICKEN	153	tɕ j oũ
1380	Sherpa	Chicken	tsʰebruk	tsʰebruk	tsʰ e b + r u k	465 469	CHICKEN _chicken	151	tsʰ e b + r u k
